State_Name,Crop,Season,State_Zone,Crop_Group,Window_Type,Start_Month,Start_Day,Start_Year_Offset,End_Month,End_Day,End_Year_Offset,Window_Days,Example_Crop_Year,Example_Start_Date,Example_End_Date,Observed_Rows_1997_2014,Observed_Districts_1997_2014,Rule_Level,Rule_Version,Rule_Status,Rule_Basis,Special_Note,Dataset_Reference,Season_Reference
Andaman and Nicobar Islands,Arecanut,Autumn,south_coastal,arecanut,seasonal_reporting_window,4,1,0,10,31,0,214,2010,2010-04-01,2010-10-31,2,1,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Arecanut,Kharif,south_coastal,arecanut,seasonal_reporting_window,5,15,0,11,30,0,200,2010,2010-05-15,2010-11-30,9,3,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Kharif_crop
Andaman and Nicobar Islands,Arecanut,Rabi,south_coastal,arecanut,seasonal_reporting_window,10,1,0,4,30,1,212,2010,2010-10-01,2011-04-30,19,4,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Arecanut,Summer,south_coastal,arecanut,seasonal_reporting_window,2,15,1,6,30,1,136,2010,2011-02-15,2011-06-30,2,1,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Arecanut,Whole Year,south_coastal,arecanut,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,20,3,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Arhar/Tur,Rabi,south_coastal,pigeon_pea,crop_cycle_estimate,10,1,0,2,27,1,150,2010,2010-10-01,2011-02-27,11,3,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 150-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Arhar/Tur,Summer,south_coastal,pigeon_pea,crop_cycle_estimate,2,15,1,8,13,1,180,2010,2011-02-15,2011-08-13,2,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 180-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Banana,Autumn,south_coastal,fruit_perennial,seasonal_reporting_window,4,1,0,10,31,0,214,2010,2010-04-01,2010-10-31,2,1,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Banana,Kharif,south_coastal,fruit_perennial,seasonal_reporting_window,5,15,0,11,30,0,200,2010,2010-05-15,2010-11-30,1,1,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Kharif_crop
Andaman and Nicobar Islands,Banana,Rabi,south_coastal,fruit_perennial,seasonal_reporting_window,10,1,0,4,30,1,212,2010,2010-10-01,2011-04-30,1,1,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Banana,Summer,south_coastal,fruit_perennial,seasonal_reporting_window,2,15,1,6,30,1,136,2010,2011-02-15,2011-06-30,2,1,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Banana,Whole Year,south_coastal,fruit_perennial,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,44,3,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Black pepper,Autumn,south_coastal,black_pepper,seasonal_reporting_window,4,1,0,10,31,0,214,2010,2010-04-01,2010-10-31,2,1,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Black pepper,Kharif,south_coastal,black_pepper,seasonal_reporting_window,5,15,0,11,30,0,200,2010,2010-05-15,2010-11-30,1,1,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Kharif_crop
Andaman and Nicobar Islands,Black pepper,Rabi,south_coastal,black_pepper,seasonal_reporting_window,10,1,0,4,30,1,212,2010,2010-10-01,2011-04-30,19,4,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Black pepper,Summer,south_coastal,black_pepper,seasonal_reporting_window,2,15,1,6,30,1,136,2010,2011-02-15,2011-06-30,2,1,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
