district_id,raw_state_name,raw_district_name,canonical_state_name,canonical_district_name,requested_census_version,geometry_census_version,boundary_feature_index,boundary_state_name,boundary_district_name,boundary_state_code,boundary_district_code,assignment_method,assignment_confidence,candidate_rank,string_similarity,edit_similarity,manual_override_used,cross_state_used,alternate_layer_used,shared_parent_boundary,requires_future_manual_review,notes
IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Census 2001,Census 2001,592,Andaman & Nicobar Island,Andamans,35,1,working_fuzzy_same_state,working_fallback,1,0.0,0.5,0,0,0,1,1,Best ranked same-state fuzzy candidate; not historically confirmed
IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Census 2011,Census 2011,637,Andaman & Nicobar Island,Nicobar,35,1,working_fuzzy_same_state,working_fallback,1,0.25,0.451613,0,0,0,0,1,Best ranked same-state fuzzy candidate; not historically confirmed
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,Andaman and Nicobar Islands,NICOBARS,Andaman and Nicobar Islands,NICOBARS,Census 2001,Census 2001,591,Andaman & Nicobar Island,Nicobars,35,2,confirmed_exact_unique,confirmed,1,1.0,1.0,0,0,0,0,0,Unique exact normalized district key within confirmed boundary state
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,Andaman and Nicobar Islands,NICOBARS,Andaman and Nicobar Islands,NICOBARS,Census 2011,Census 2001,591,Andaman & Nicobar Island,Nicobars,35,2,alternate_layer_confirmed_name,working_strong,1,1.0,1.0,0,0,1,0,1,Requested Census 2011 used confirmed name match from Census 2001
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Census 2001,Census 2011,639,Andaman & Nicobar Island,North & Middle Andaman,35,2,alternate_layer_confirmed_name,working_strong,1,1.0,1.0,0,0,1,0,1,Requested Census 2001 used confirmed name match from Census 2011
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Census 2011,Census 2011,639,Andaman & Nicobar Island,North & Middle Andaman,35,2,confirmed_exact_unique,confirmed,1,1.0,1.0,0,0,0,0,0,Unique exact normalized district key within confirmed boundary state
IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,Census 2001,Census 2001,592,Andaman & Nicobar Island,Andamans,35,1,working_fuzzy_same_state,working_fallback,1,0.5,0.761905,0,0,0,1,1,Best ranked same-state fuzzy candidate; not historically confirmed
IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,Census 2011,Census 2011,638,Andaman & Nicobar Island,South Andaman,35,3,working_fuzzy_same_state,working_fallback,1,0.333333,0.96,0,0,0,0,1,Best ranked same-state fuzzy candidate; not historically confirmed
IND_ANDHRA_PRADESH_ADILABAD,Andhra Pradesh,ADILABAD,Andhra Pradesh,ADILABAD,Census 2001,Census 2001,14,Andhra Pradesh,Adilabad,28,1,confirmed_exact_unique,confirmed,1,1.0,1.0,0,0,0,0,0,Unique exact normalized district key within confirmed boundary state
IND_ANDHRA_PRADESH_ADILABAD,Andhra Pradesh,ADILABAD,Andhra Pradesh,ADILABAD,Census 2011,Census 2011,0,Andhra Pradesh,Adilabad,28,1,confirmed_exact_unique,confirmed,1,1.0,1.0,0,0,0,0,0,Unique exact normalized district key within confirmed boundary state
IND_ANDHRA_PRADESH_ANANTAPUR,Andhra Pradesh,ANANTAPUR,Andhra Pradesh,ANANTAPUR,Census 2001,Census 2001,1,Andhra Pradesh,Anantapur,28,22,confirmed_exact_unique,confirmed,1,1.0,1.0,0,0,0,0,0,Unique exact normalized district key within confirmed boundary state
IND_ANDHRA_PRADESH_ANANTAPUR,Andhra Pradesh,ANANTAPUR,Andhra Pradesh,ANANTAPUR,Census 2011,Census 2011,19,Andhra Pradesh,Anantapur,28,22,confirmed_exact_unique,confirmed,1,1.0,1.0,0,0,0,0,0,Unique exact normalized district key within confirmed boundary state
IND_ANDHRA_PRADESH_CHITTOOR,Andhra Pradesh,CHITTOOR,Andhra Pradesh,CHITTOOR,Census 2001,Census 2001,93,Andhra Pradesh,Chittoor,28,23,confirmed_exact_unique,confirmed,1,1.0,1.0,0,0,0,0,0,Unique exact normalized district key within confirmed boundary state
IND_ANDHRA_PRADESH_CHITTOOR,Andhra Pradesh,CHITTOOR,Andhra Pradesh,CHITTOOR,Census 2011,Census 2011,119,Andhra Pradesh,Chittoor,28,23,confirmed_exact_unique,confirmed,1,1.0,1.0,0,0,0,0,0,Unique exact normalized district key within confirmed boundary state
IND_ANDHRA_PRADESH_EAST_GODAVARI,Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,EAST GODAVARI,Census 2001,Census 2001,151,Andhra Pradesh,East Godavari,28,14,confirmed_exact_unique,confirmed,1,1.0,1.0,0,0,0,0,0,Unique exact normalized district key within confirmed boundary state
IND_ANDHRA_PRADESH_EAST_GODAVARI,Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,EAST GODAVARI,Census 2011,Census 2011,168,Andhra Pradesh,East Godavari,28,14,confirmed_exact_unique,confirmed,1,1.0,1.0,0,0,0,0,0,Unique exact normalized district key within confirmed boundary state
