district_id,raw_state_name,raw_district_name,canonical_state_name,canonical_district_name,valid_from,valid_to,latitude,longitude,point_method,match_method,match_status,override_type,override_confidence,override_evidence,override_review_status,geometry_source,coordinate_source,crop_rows,unique_years,unique_crops,unique_seasons,notes
IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,2007,2009,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,72,3,20,5,
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,Andaman and Nicobar Islands,NICOBARS,Andaman and Nicobar Islands,NICOBARS,2000,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,209,12,19,4,
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,184,8,25,5,
IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,225,10,24,5,
IND_ANDHRA_PRADESH_ADILABAD,Andhra Pradesh,ADILABAD,Andhra Pradesh,ADILABAD,1997,2012,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,548,16,38,3,
IND_ANDHRA_PRADESH_ANANTAPUR,Andhra Pradesh,ANANTAPUR,Andhra Pradesh,ANANTAPUR,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1474,18,60,3,
IND_ANDHRA_PRADESH_CHITTOOR,Andhra Pradesh,CHITTOOR,Andhra Pradesh,CHITTOOR,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1469,18,60,3,
IND_ANDHRA_PRADESH_EAST_GODAVARI,Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,EAST GODAVARI,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1423,18,63,3,
IND_ANDHRA_PRADESH_GUNTUR,Andhra Pradesh,GUNTUR,Andhra Pradesh,GUNTUR,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1290,18,54,3,
IND_ANDHRA_PRADESH_HYDERABAD,Andhra Pradesh,HYDERABAD,Andhra Pradesh,HYDERABAD,1997,2000,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,8,4,2,2,
IND_ANDHRA_PRADESH_KADAPA,Andhra Pradesh,KADAPA,Andhra Pradesh,KADAPA,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1542,18,63,3,
IND_ANDHRA_PRADESH_KARIMNAGAR,Andhra Pradesh,KARIMNAGAR,Andhra Pradesh,KARIMNAGAR,1997,2012,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,486,16,32,3,
IND_ANDHRA_PRADESH_KHAMMAM,Andhra Pradesh,KHAMMAM,Andhra Pradesh,KHAMMAM,1997,2012,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,506,16,36,3,
IND_ANDHRA_PRADESH_KRISHNA,Andhra Pradesh,KRISHNA,Andhra Pradesh,KRISHNA,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1192,18,57,3,
IND_ANDHRA_PRADESH_KURNOOL,Andhra Pradesh,KURNOOL,Andhra Pradesh,KURNOOL,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1553,18,62,3,
IND_ANDHRA_PRADESH_MAHBUBNAGAR,Andhra Pradesh,MAHBUBNAGAR,Andhra Pradesh,MAHBUBNAGAR,1997,2012,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,560,16,36,3,
IND_ANDHRA_PRADESH_MEDAK,Andhra Pradesh,MEDAK,Andhra Pradesh,MEDAK,1997,2012,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,597,16,40,3,
IND_ANDHRA_PRADESH_NALGONDA,Andhra Pradesh,NALGONDA,Andhra Pradesh,NALGONDA,1997,2012,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,447,16,32,3,
IND_ANDHRA_PRADESH_NIZAMABAD,Andhra Pradesh,NIZAMABAD,Andhra Pradesh,NIZAMABAD,1997,2012,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,560,16,37,3,
IND_ANDHRA_PRADESH_PRAKASAM,Andhra Pradesh,PRAKASAM,Andhra Pradesh,PRAKASAM,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1514,18,60,3,
IND_ANDHRA_PRADESH_RANGAREDDI,Andhra Pradesh,RANGAREDDI,Andhra Pradesh,RANGAREDDI,1997,2012,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,580,16,39,3,
IND_ANDHRA_PRADESH_SPSR_NELLORE,Andhra Pradesh,SPSR NELLORE,Andhra Pradesh,SPSR NELLORE,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1287,18,54,3,
IND_ANDHRA_PRADESH_SRIKAKULAM,Andhra Pradesh,SRIKAKULAM,Andhra Pradesh,SRIKAKULAM,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1297,18,53,3,
IND_ANDHRA_PRADESH_VISAKHAPATANAM,Andhra Pradesh,VISAKHAPATANAM,Andhra Pradesh,VISAKHAPATANAM,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1539,18,60,3,
IND_ANDHRA_PRADESH_VIZIANAGARAM,Andhra Pradesh,VIZIANAGARAM,Andhra Pradesh,VIZIANAGARAM,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1388,18,57,3,
IND_ANDHRA_PRADESH_WARANGAL,Andhra Pradesh,WARANGAL,Andhra Pradesh,WARANGAL,1997,2012,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,485,16,30,3,
IND_ANDHRA_PRADESH_WEST_GODAVARI,Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,WEST GODAVARI,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,1083,18,56,3,
IND_ARUNACHAL_PRADESH_ANJAW,Arunachal Pradesh,ANJAW,Arunachal Pradesh,ANJAW,2004,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,204,11,11,3,
IND_ARUNACHAL_PRADESH_CHANGLANG,Arunachal Pradesh,CHANGLANG,Arunachal Pradesh,CHANGLANG,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,373,18,17,3,
IND_ARUNACHAL_PRADESH_DIBANG_VALLEY,Arunachal Pradesh,DIBANG VALLEY,Arunachal Pradesh,DIBANG VALLEY,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,289,18,17,3,
IND_ARUNACHAL_PRADESH_EAST_KAMENG,Arunachal Pradesh,EAST KAMENG,Arunachal Pradesh,EAST KAMENG,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,311,18,17,3,
IND_ARUNACHAL_PRADESH_EAST_SIANG,Arunachal Pradesh,EAST SIANG,Arunachal Pradesh,EAST SIANG,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,375,18,17,3,
IND_ARUNACHAL_PRADESH_KURUNG_KUMEY,Arunachal Pradesh,KURUNG KUMEY,Arunachal Pradesh,KURUNG KUMEY,2002,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,197,13,12,3,
IND_ARUNACHAL_PRADESH_LOHIT,Arunachal Pradesh,LOHIT,Arunachal Pradesh,LOHIT,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,375,18,17,3,
IND_ARUNACHAL_PRADESH_LONGDING,Arunachal Pradesh,LONGDING,Arunachal Pradesh,LONGDING,2013,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,26,2,8,2,
IND_ARUNACHAL_PRADESH_LOWER_DIBANG_VALLEY,Arunachal Pradesh,LOWER DIBANG VALLEY,Arunachal Pradesh,LOWER DIBANG VALLEY,2002,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,259,13,12,3,
IND_ARUNACHAL_PRADESH_LOWER_SUBANSIRI,Arunachal Pradesh,LOWER SUBANSIRI,Arunachal Pradesh,LOWER SUBANSIRI,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,335,18,17,3,
IND_ARUNACHAL_PRADESH_NAMSAI,Arunachal Pradesh,NAMSAI,Arunachal Pradesh,NAMSAI,2014,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,2,1,1,1,
IND_ARUNACHAL_PRADESH_PAPUM_PARE,Arunachal Pradesh,PAPUM PARE,Arunachal Pradesh,PAPUM PARE,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,361,18,17,3,
IND_ARUNACHAL_PRADESH_TAWANG,Arunachal Pradesh,TAWANG,Arunachal Pradesh,TAWANG,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,313,18,15,3,
IND_ARUNACHAL_PRADESH_TIRAP,Arunachal Pradesh,TIRAP,Arunachal Pradesh,TIRAP,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,315,18,16,3,
IND_ARUNACHAL_PRADESH_UPPER_SIANG,Arunachal Pradesh,UPPER SIANG,Arunachal Pradesh,UPPER SIANG,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,287,18,16,3,
IND_ARUNACHAL_PRADESH_UPPER_SUBANSIRI,Arunachal Pradesh,UPPER SUBANSIRI,Arunachal Pradesh,UPPER SUBANSIRI,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,333,18,17,3,
IND_ARUNACHAL_PRADESH_WEST_KAMENG,Arunachal Pradesh,WEST KAMENG,Arunachal Pradesh,WEST KAMENG,1997,2014,,,,exact_pending_boundary_check,pending_boundary_match,,,,,,,301,18,14,3,
