district_id,raw_state_name,raw_district_name,canonical_state_name,canonical_district_name,valid_from,valid_to,latitude,longitude,point_method,match_method,match_status,geometry_source,coordinate_source,crop_rows,unique_years,unique_crops,unique_seasons,notes
IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,2007,2009,,,,,pending,,,72,3,20,5,
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,Andaman and Nicobar Islands,NICOBARS,,,2000,2014,,,,,pending,,,209,12,19,4,
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,,,2000,2014,,,,,pending,,,184,8,25,5,
IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,,,2002,2014,,,,,pending,,,225,10,24,5,
IND_ANDHRA_PRADESH_ADILABAD,Andhra Pradesh,ADILABAD,,,1997,2012,,,,,pending,,,548,16,38,3,
IND_ANDHRA_PRADESH_ANANTAPUR,Andhra Pradesh,ANANTAPUR,,,1997,2014,,,,,pending,,,1474,18,60,3,
IND_ANDHRA_PRADESH_CHITTOOR,Andhra Pradesh,CHITTOOR,,,1997,2014,,,,,pending,,,1469,18,60,3,
IND_ANDHRA_PRADESH_EAST_GODAVARI,Andhra Pradesh,EAST GODAVARI,,,1997,2014,,,,,pending,,,1423,18,63,3,
IND_ANDHRA_PRADESH_GUNTUR,Andhra Pradesh,GUNTUR,,,1997,2014,,,,,pending,,,1290,18,54,3,
IND_ANDHRA_PRADESH_HYDERABAD,Andhra Pradesh,HYDERABAD,,,1997,2000,,,,,pending,,,8,4,2,2,
IND_ANDHRA_PRADESH_KADAPA,Andhra Pradesh,KADAPA,,,1997,2014,,,,,pending,,,1542,18,63,3,
IND_ANDHRA_PRADESH_KARIMNAGAR,Andhra Pradesh,KARIMNAGAR,,,1997,2012,,,,,pending,,,486,16,32,3,
IND_ANDHRA_PRADESH_KHAMMAM,Andhra Pradesh,KHAMMAM,,,1997,2012,,,,,pending,,,506,16,36,3,
