district_point_version_id,district_id,requested_census_version,geometry_census_version,boundary_feature_index,raw_state_name,raw_district_name,canonical_state_name,canonical_district_name,boundary_state_name,boundary_district_name,latitude,longitude,point_wkt,point_method,assignment_method,assignment_confidence,shared_parent_boundary,geometry_was_valid,geometry_repaired,geometry_repair_method,point_inside_geometry
DPV_8B1A755639EAAD0B,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,Census 2001,Census 2001,592,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman & Nicobar Island,Andamans,12.61158497,92.83153129,POINT (92.83153129263499 12.611584970604252),geometry.representative_point,working_fuzzy_same_state,working_fallback,1,1,0,,1
DPV_AA978FD073CD1A45,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,Census 2011,Census 2011,637,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman & Nicobar Island,Nicobar,7.00040199,93.81029172,POINT (93.81029171757143 7.0004019853314965),geometry.representative_point,working_fuzzy_same_state,working_fallback,0,1,0,,1
DPV_C385E1AA6D7F4D21,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,Census 2001,Census 2001,591,Andaman and Nicobar Islands,NICOBARS,Andaman and Nicobar Islands,NICOBARS,Andaman & Nicobar Island,Nicobars,7.00040199,93.81029172,POINT (93.81029171757143 7.0004019853314965),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_BA890C247AB782E0,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,Census 2011,Census 2001,591,Andaman and Nicobar Islands,NICOBARS,Andaman and Nicobar Islands,NICOBARS,Andaman & Nicobar Island,Nicobars,7.00040199,93.81029172,POINT (93.81029171757143 7.0004019853314965),geometry.representative_point,alternate_layer_confirmed_name,working_strong,0,1,0,,1
DPV_4EDC241068BF452A,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,Census 2001,Census 2011,639,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Andaman & Nicobar Island,North & Middle Andaman,12.61158497,92.83153129,POINT (92.83153129263499 12.611584970604252),geometry.representative_point,alternate_layer_confirmed_name,working_strong,0,1,0,,1
DPV_93CD20EFEFF2EF86,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,Census 2011,Census 2011,639,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Andaman & Nicobar Island,North & Middle Andaman,12.61158497,92.83153129,POINT (92.83153129263499 12.611584970604252),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_D880621EB684EC7F,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,Census 2001,Census 2001,592,Andaman and Nicobar Islands,SOUTH ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,Andaman & Nicobar Island,Andamans,12.61158497,92.83153129,POINT (92.83153129263499 12.611584970604252),geometry.representative_point,working_fuzzy_same_state,working_fallback,1,1,0,,1
DPV_6C75931787073AC5,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,Census 2011,Census 2011,638,Andaman and Nicobar Islands,SOUTH ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,Andaman & Nicobar Island,South Andaman,10.70434741,92.48893577,POINT (92.48893576802851 10.704347405528889),geometry.representative_point,working_fuzzy_same_state,working_fallback,0,1,0,,1
DPV_8418637F0E233339,IND_ANDHRA_PRADESH_ADILABAD,Census 2001,Census 2001,14,Andhra Pradesh,ADILABAD,Andhra Pradesh,ADILABAD,Andhra Pradesh,Adilabad,19.29892001,79.08081669,POINT (79.08081668638252 19.298920005651425),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_36CB2D9D9149CF8B,IND_ANDHRA_PRADESH_ADILABAD,Census 2011,Census 2011,0,Andhra Pradesh,ADILABAD,Andhra Pradesh,ADILABAD,Andhra Pradesh,Adilabad,19.29892001,79.08081669,POINT (79.08081668638252 19.298920005651425),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
