district_year_point_id,district_id,Crop_Year,preferred_census_version,used_census_version,district_point_version_id,weather_point_id,latitude,longitude,assignment_method,assignment_confidence,alternate_layer_used,shared_parent_boundary
DYP_6AFFAE1AC586E014,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,1997,Census 2001,Census 2001,DPV_8B1A755639EAAD0B,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_5586855ECD8459F9,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,1998,Census 2001,Census 2001,DPV_8B1A755639EAAD0B,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_2764B004A196D210,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,1999,Census 2001,Census 2001,DPV_8B1A755639EAAD0B,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_47EF4DBCF1E1B2A4,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2000,Census 2001,Census 2001,DPV_8B1A755639EAAD0B,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_0B670E932EA274C4,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2001,Census 2001,Census 2001,DPV_8B1A755639EAAD0B,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_532131F16075C3F6,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2002,Census 2001,Census 2001,DPV_8B1A755639EAAD0B,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_64D12EA553DFAC90,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2003,Census 2001,Census 2001,DPV_8B1A755639EAAD0B,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_7375DE2702D6AD9A,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2004,Census 2001,Census 2001,DPV_8B1A755639EAAD0B,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_4D6026C710893FD4,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2005,Census 2001,Census 2001,DPV_8B1A755639EAAD0B,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_B3AFDE3199C2C363,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2006,Census 2011,Census 2011,DPV_AA978FD073CD1A45,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,working_fuzzy_same_state,working_fallback,0,0
