State_Name,District_Name,first_year,last_year,crop_rows,unique_years,unique_crops,unique_seasons,district_id
Andaman and Nicobar Islands,Andaman and Nicobar Islands,2007,2009,72,3,20,5,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS
Andaman and Nicobar Islands,NICOBARS,2000,2014,209,12,19,4,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,2014,184,8,25,5,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,2014,225,10,24,5,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS
Andhra Pradesh,ADILABAD,1997,2012,548,16,38,3,IND_ANDHRA_PRADESH_ADILABAD
Andhra Pradesh,ANANTAPUR,1997,2014,1474,18,60,3,IND_ANDHRA_PRADESH_ANANTAPUR
Andhra Pradesh,CHITTOOR,1997,2014,1469,18,60,3,IND_ANDHRA_PRADESH_CHITTOOR
Andhra Pradesh,EAST GODAVARI,1997,2014,1423,18,63,3,IND_ANDHRA_PRADESH_EAST_GODAVARI
Andhra Pradesh,GUNTUR,1997,2014,1290,18,54,3,IND_ANDHRA_PRADESH_GUNTUR
Andhra Pradesh,HYDERABAD,1997,2000,8,4,2,2,IND_ANDHRA_PRADESH_HYDERABAD
Andhra Pradesh,KADAPA,1997,2014,1542,18,63,3,IND_ANDHRA_PRADESH_KADAPA
Andhra Pradesh,KARIMNAGAR,1997,2012,486,16,32,3,IND_ANDHRA_PRADESH_KARIMNAGAR
Andhra Pradesh,KHAMMAM,1997,2012,506,16,36,3,IND_ANDHRA_PRADESH_KHAMMAM
Andhra Pradesh,KRISHNA,1997,2014,1192,18,57,3,IND_ANDHRA_PRADESH_KRISHNA
Andhra Pradesh,KURNOOL,1997,2014,1553,18,62,3,IND_ANDHRA_PRADESH_KURNOOL
Andhra Pradesh,MAHBUBNAGAR,1997,2012,560,16,36,3,IND_ANDHRA_PRADESH_MAHBUBNAGAR
Andhra Pradesh,MEDAK,1997,2012,597,16,40,3,IND_ANDHRA_PRADESH_MEDAK
Andhra Pradesh,NALGONDA,1997,2012,447,16,32,3,IND_ANDHRA_PRADESH_NALGONDA
Andhra Pradesh,NIZAMABAD,1997,2012,560,16,37,3,IND_ANDHRA_PRADESH_NIZAMABAD
Andhra Pradesh,PRAKASAM,1997,2014,1514,18,60,3,IND_ANDHRA_PRADESH_PRAKASAM
Andhra Pradesh,RANGAREDDI,1997,2012,580,16,39,3,IND_ANDHRA_PRADESH_RANGAREDDI
Andhra Pradesh,SPSR NELLORE,1997,2014,1287,18,54,3,IND_ANDHRA_PRADESH_SPSR_NELLORE
Andhra Pradesh,SRIKAKULAM,1997,2014,1297,18,53,3,IND_ANDHRA_PRADESH_SRIKAKULAM
Andhra Pradesh,VISAKHAPATANAM,1997,2014,1539,18,60,3,IND_ANDHRA_PRADESH_VISAKHAPATANAM
Andhra Pradesh,VIZIANAGARAM,1997,2014,1388,18,57,3,IND_ANDHRA_PRADESH_VIZIANAGARAM
Andhra Pradesh,WARANGAL,1997,2012,485,16,30,3,IND_ANDHRA_PRADESH_WARANGAL
Andhra Pradesh,WEST GODAVARI,1997,2014,1083,18,56,3,IND_ANDHRA_PRADESH_WEST_GODAVARI
Arunachal Pradesh,ANJAW,2004,2014,204,11,11,3,IND_ARUNACHAL_PRADESH_ANJAW
Arunachal Pradesh,CHANGLANG,1997,2014,373,18,17,3,IND_ARUNACHAL_PRADESH_CHANGLANG
Arunachal Pradesh,DIBANG VALLEY,1997,2014,289,18,17,3,IND_ARUNACHAL_PRADESH_DIBANG_VALLEY
Arunachal Pradesh,EAST KAMENG,1997,2014,311,18,17,3,IND_ARUNACHAL_PRADESH_EAST_KAMENG
Arunachal Pradesh,EAST SIANG,1997,2014,375,18,17,3,IND_ARUNACHAL_PRADESH_EAST_SIANG
Arunachal Pradesh,KURUNG KUMEY,2002,2014,197,13,12,3,IND_ARUNACHAL_PRADESH_KURUNG_KUMEY
Arunachal Pradesh,LOHIT,1997,2014,375,18,17,3,IND_ARUNACHAL_PRADESH_LOHIT
Arunachal Pradesh,LONGDING,2013,2014,26,2,8,2,IND_ARUNACHAL_PRADESH_LONGDING
Arunachal Pradesh,LOWER DIBANG VALLEY,2002,2014,259,13,12,3,IND_ARUNACHAL_PRADESH_LOWER_DIBANG_VALLEY
Arunachal Pradesh,LOWER SUBANSIRI,1997,2014,335,18,17,3,IND_ARUNACHAL_PRADESH_LOWER_SUBANSIRI
Arunachal Pradesh,NAMSAI,2014,2014,2,1,1,1,IND_ARUNACHAL_PRADESH_NAMSAI
Arunachal Pradesh,PAPUM PARE,1997,2014,361,18,17,3,IND_ARUNACHAL_PRADESH_PAPUM_PARE
Arunachal Pradesh,TAWANG,1997,2014,313,18,15,3,IND_ARUNACHAL_PRADESH_TAWANG
Arunachal Pradesh,TIRAP,1997,2014,315,18,16,3,IND_ARUNACHAL_PRADESH_TIRAP
Arunachal Pradesh,UPPER SIANG,1997,2014,287,18,16,3,IND_ARUNACHAL_PRADESH_UPPER_SIANG
Arunachal Pradesh,UPPER SUBANSIRI,1997,2014,333,18,17,3,IND_ARUNACHAL_PRADESH_UPPER_SUBANSIRI
Arunachal Pradesh,WEST KAMENG,1997,2014,301,18,14,3,IND_ARUNACHAL_PRADESH_WEST_KAMENG
Arunachal Pradesh,WEST SIANG,1997,2014,367,18,17,3,IND_ARUNACHAL_PRADESH_WEST_SIANG
Assam,BAKSA,2005,2014,678,10,39,6,IND_ASSAM_BAKSA
Assam,BARPETA,1997,2014,1153,18,40,6,IND_ASSAM_BARPETA
Assam,BONGAIGAON,1997,2014,1141,18,40,6,IND_ASSAM_BONGAIGAON
