census_version,source_layer,source_feature_index,raw_state_name,raw_district_name,raw_state_code,raw_district_code,normalized_state_name,normalized_district_name,state_compare_key,district_compare_key,geometry_type,geometry_valid,geometry_area_native
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,0,Gujarat,Anand,24,15,GUJARAT,ANAND,GUJARAT,ANAND,MultiPolygon,True,0.3074705697462224
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,1,Andhra Pradesh,Anantapur,28,22,ANDHRA PRADESH,ANANTAPUR,ANDHRAPRADESH,ANANTAPUR,Polygon,True,1.6117325908899003
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,2,Jammu and Kashmir,Anantnag,01,06,JAMMU AND KASHMIR,ANANTNAG,JAMMUANDKASHMIR,ANANTNAG,Polygon,True,0.41362132164064713
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,3,Orissa,Anugul,21,15,ORISSA,ANUGUL,ORISSA,ANUGUL,Polygon,True,0.5522797665707376
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,4,Bihar,Araria,10,07,BIHAR,ARARIA,BIHAR,ARARIA,Polygon,True,0.25340724746616633
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,5,Tamil Nadu,Ariyalur,33,17,TAMIL NADU,ARIYALUR,TAMILNADU,ARIYALUR,Polygon,True,0.1615319570396049
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,6,Uttar Pradesh,Auraiya,09,32,UTTAR PRADESH,AURAIYA,UTTARPRADESH,AURAIYA,Polygon,True,0.18193634005107556
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,7,Bihar,Aurangabad,10,34,BIHAR,AURANGABAD,BIHAR,AURANGABAD,Polygon,True,0.2925543185067011
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,8,Maharashtra,Aurangabad,27,19,MAHARASHTRA,AURANGABAD,MAHARASHTRA,AURANGABAD,Polygon,True,0.8733205513229652
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,9,Uttar Pradesh,Azamgarh,09,61,UTTAR PRADESH,AZAMGARH,UTTARPRADESH,AZAMGARH,MultiPolygon,True,0.3517993140172031
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,10,Uttar Pradesh,Budaun,09,19,UTTAR PRADESH,BUDAUN,UTTARPRADESH,BUDAUN,Polygon,True,0.466325672944458
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,11,Jammu and Kashmir,Badgam,01,04,JAMMU AND KASHMIR,BADGAM,JAMMUANDKASHMIR,BADGAM,Polygon,True,0.12521129471526526
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,12,Karnataka,Bagalkot,29,02,KARNATAKA,BAGALKOT,KARNATAKA,BAGALKOT,Polygon,True,0.5553467382194459
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,13,Uttarakhand,Bageshwar,05,08,UTTARAKHAND,BAGESHWAR,UTTARAKHAND,BAGESHWAR,Polygon,True,0.21341531707113315
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,14,Andhra Pradesh,Adilabad,28,01,ANDHRA PRADESH,ADILABAD,ANDHRAPRADESH,ADILABAD,Polygon,True,1.3784256635097367
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,15,Uttar Pradesh,Agra,09,15,UTTAR PRADESH,AGRA,UTTARPRADESH,AGRA,Polygon,True,0.36619547060413343
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,16,Gujarat,Ahmadabad,24,07,GUJARAT,AHMADABAD,GUJARAT,AHMADABAD,MultiPolygon,True,0.7595725162167614
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,17,Maharashtra,Ahmadnagar,27,26,MAHARASHTRA,AHMADNAGAR,MAHARASHTRA,AHMADNAGAR,Polygon,True,1.4650252736934608
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,18,Mizoram,Aizawl,15,03,MIZORAM,AIZAWL,MIZORAM,AIZAWL,Polygon,True,0.3306573221259349
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,19,Rajasthan,Ajmer,08,21,RAJASTHAN,AJMER,RAJASTHAN,AJMER,MultiPolygon,True,0.7698108708873123
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,20,Maharashtra,Akola,27,05,MAHARASHTRA,AKOLA,MAHARASHTRA,AKOLA,Polygon,True,0.4689361176584303
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,21,Kerala,Alappuzha,32,11,KERALA,ALAPPUZHA,KERALA,ALAPPUZHA,Polygon,True,0.11697287982964881
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,22,Uttar Pradesh,Aligarh,09,12,UTTAR PRADESH,ALIGARH,UTTARPRADESH,ALIGARH,Polygon,True,0.34322157648046187
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,23,Uttar Pradesh,Allahabad,09,45,UTTAR PRADESH,ALLAHABAD,UTTARPRADESH,ALLAHABAD,Polygon,True,0.46764990248405364
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,24,Uttarakhand,Almora,05,09,UTTARAKHAND,ALMORA,UTTARAKHAND,ALMORA,Polygon,True,0.28934607762303954
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,25,Haryana,Ambala,06,02,HARYANA,AMBALA,HARYANA,AMBALA,MultiPolygon,True,0.16740395865882948
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,26,Uttar Pradesh,Ambedkar Nagar,09,48,UTTAR PRADESH,AMBEDKAR NAGAR,UTTARPRADESH,AMBEDKARNAGAR,Polygon,True,0.20948141135662454
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,27,Maharashtra,Amravati,27,07,MAHARASHTRA,AMRAVATI,MAHARASHTRA,AMRAVATI,Polygon,True,1.061811840591091
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,28,Gujarat,Amreli,24,13,GUJARAT,AMRELI,GUJARAT,AMRELI,MultiPolygon,True,0.5876581441736756
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,29,Punjab,Amritsar,03,02,PUNJAB,AMRITSAR,PUNJAB,AMRITSAR,Polygon,True,0.47985740899656354
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,30,Karnataka,Bangalore,29,20,KARNATAKA,BANGALORE,KARNATAKA,BANGALORE,Polygon,True,0.1818325755240738
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,31,Bihar,Banka,10,23,BIHAR,BANKA,BIHAR,BANKA,Polygon,True,0.27686212349488076
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,32,Rajasthan,Banswara,08,28,RAJASTHAN,BANSWARA,RAJASTHAN,BANSWARA,Polygon,True,0.4468739991998535
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,33,Jammu and Kashmir,Baramula,01,02,JAMMU AND KASHMIR,BARAMULA,JAMMUANDKASHMIR,BARAMULA,Polygon,True,0.39894080590104775
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,34,West Bengal,Barddhaman,19,09,WEST BENGAL,BARDDHAMAN,WESTBENGAL,BARDDHAMAN,Polygon,True,0.6207191722542393
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,35,Uttar Pradesh,Bareilly,09,20,UTTAR PRADESH,BAREILLY,UTTARPRADESH,BAREILLY,Polygon,True,0.34867363943826524
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,36,Rajasthan,Barmer,08,17,RAJASTHAN,BARMER,RAJASTHAN,BARMER,Polygon,True,2.5567520411011997
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,37,Assam,Barpeta,18,05,ASSAM,BARPETA,ASSAM,BARPETA,Polygon,True,0.29259501991985926
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,38,Orissa,Bhadrak,21,09,ORISSA,BHADRAK,ORISSA,BHADRAK,Polygon,True,0.21536548965504473
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,39,Bihar,Bhagalpur,10,22,BIHAR,BHAGALPUR,BIHAR,BHAGALPUR,Polygon,True,0.2278294984299033
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,40,Gujarat,Bhavnagar,24,14,GUJARAT,BHAVNAGAR,GUJARAT,BHAVNAGAR,MultiPolygon,True,0.8318169426520832
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,41,Rajasthan,Bhilwara,08,24,RAJASTHAN,BHILWARA,RAJASTHAN,BHILWARA,Polygon,True,0.9393083698637472
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,42,Madhya Pradesh,Bhind,23,03,MADHYA PRADESH,BHIND,MADHYAPRADESH,BHIND,MultiPolygon,True,0.4042138956228799
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,43,Madhya Pradesh,Bhopal,23,32,MADHYA PRADESH,BHOPAL,MADHYAPRADESH,BHOPAL,Polygon,True,0.24074057319191486
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,44,Maharashtra,Bid,27,27,MAHARASHTRA,BID,MAHARASHTRA,BID,Polygon,True,0.9473104496712241
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,45,Karnataka,Bidar,29,05,KARNATAKA,BIDAR,KARNATAKA,BIDAR,MultiPolygon,True,0.4645242366264194
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,46,Karnataka,Bijapur,29,03,KARNATAKA,BIJAPUR,KARNATAKA,BIJAPUR,Polygon,True,0.8907617651102241
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,47,Uttar Pradesh,Bijnor,09,03,UTTAR PRADESH,BIJNOR,UTTARPRADESH,BIJNOR,Polygon,True,0.4013366356203051
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,48,Rajasthan,Bikaner,08,03,RAJASTHAN,BIKANER,RAJASTHAN,BIKANER,Polygon,True,2.492700375076116
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,49,Himachal Pradesh,Bilaspur,02,08,HIMACHAL PRADESH,BILASPUR,HIMACHALPRADESH,BILASPUR,Polygon,True,0.11074408578155603
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,50,West Bengal,Birbhum,19,08,WEST BENGAL,BIRBHUM,WESTBENGAL,BIRBHUM,Polygon,True,0.4032418951364534
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,51,Manipur,Bishnupur,14,04,MANIPUR,BISHNUPUR,MANIPUR,BISHNUPUR,Polygon,True,0.04280197017573627
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,52,Jharkhand,Bokaro,20,13,JHARKHAND,BOKARO,JHARKHAND,BOKARO,Polygon,True,0.2475131264147734
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,53,Punjab,Firozpur,03,11,PUNJAB,FIROZPUR,PUNJAB,FIROZPUR,Polygon,True,0.5507890130950011
