State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,yield,source_row_id,calendar_rule_key,start_date,end_date,weather_window_days,nominal_rule_window_days,calendar_leap_day_adjustment,calendar_rule_level,calendar_rule_version,calendar_rule_status,calendar_window_type,calendar_state_zone,calendar_crop_group,calendar_rule_basis,calendar_special_note,district_id,district_year_point_id,preferred_census_version,used_census_version,district_point_version_id,weather_point_id,latitude,longitude,point_assignment_method,point_assignment_confidence,alternate_layer_used,shared_parent_boundary,weather_window_id,weather_days_expected,weather_days_present,weather_coverage_ratio,weather_window_valid,rain_sum_mm,rain_mean_mm,rainy_days_ge1mm,dry_days_lt1mm,heavy_rain_days_ge20mm,longest_dry_spell_days,longest_wet_spell_days,temp_mean_c,temp_max_mean_c,temp_min_mean_c,temp_max_absolute_c,temp_min_absolute_c,hot_days_tmax_ge35c,cold_days_tmin_lt10c,humidity_mean_pct,solar_radiation_mean,wind_speed_mean,first_25pct_days,first_25pct_rain_sum_mm,first_25pct_temp_mean_c,first_25pct_longest_dry_spell_days,last_25pct_days,last_25pct_rain_sum_mm,last_25pct_temp_mean_c,last_25pct_heavy_rain_days,State_Name_raw,District_Name_raw,Season_raw,Crop_raw,canonical_state_name,canonical_district_name,Season_canonical,Crop_canonical,district_override_applied,source_name,production_scale_factor,Area_corrected,Production_corrected,yield_source_corrected,target_yield,yield_formula_absolute_difference,_canonical_key,selected_source,source_overlap_status,source_rows_count,legacy_source_row_id,expanded_source_row_id,unit_correction_type,unit_correction_factor,unit_correction_evidence,selected_source_row_id,canonical_crop_row_id,target_unit_group,basic_model_eligibility,basic_exclusion_reason
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Coconut,18168.0,65100000.0,3583.223249669749,6,Andaman and Nicobar Islands|Coconut|Whole Year,2000-07-01,2001-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_8CE740368D8229123B80,365,365,1.0,True,1925.7400000000061,5.276000000000017,302,63,11,10,56,27.54169863013703,27.902876712328833,27.13284931506847,29.43,25.62,0,0,81.68457534246598,17.3857534246576,4.830821917808215,92,498.1600000000035,27.53086956521775,10,92,479.1700000000019,28.153478260869516,0,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,0,legacy_source,1.0,18168.0,65100000.0,3583.223249669749,3583.223249669749,0.0,Andaman and Nicobar IslandsNICOBARS2000Whole YearCoconut,legacy_source,corroborated_after_scaling,2,6.0,529197.0,,,,6,CCR_BAF5F60FEC2962D09F27,coconut_non_tonne_reporting_unit,0,incompatible_target_unit_coconut
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Coconut,18190.0,64430000.0,3542.056074766356,15,Andaman and Nicobar Islands|Coconut|Whole Year,2001-07-01,2002-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_348FEFCE8191BD27,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_4570739A72A461C07707,365,365,1.0,True,1830.870000000009,5.016082191780846,294,71,13,11,109,27.670438356164283,28.043342465753383,27.24416438356167,30.02,25.65,0,0,82.20246575342476,17.949424657534287,4.978547945205475,92,552.0399999999981,27.54695652173897,3,92,385.33000000001084,28.49097826086907,2,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,0,legacy_source,1.0,18190.0,64430000.0,3542.056074766356,3542.0560747663553,4.547473508864641e-13,Andaman and Nicobar IslandsNICOBARS2001Whole YearCoconut,legacy_source,corroborated_after_scaling,2,15.0,236399.0,,,,15,CCR_9CD40BF62E2EB8335499,coconut_non_tonne_reporting_unit,0,incompatible_target_unit_coconut
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Coconut,18240.0,67490000.0,3700.1096491228072,24,Andaman and Nicobar Islands|Coconut|Whole Year,2002-07-01,2003-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_A32F737C2D0F3496,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_CB9153E04B1D2E56AA85,365,365,1.0,True,1585.059999999994,4.342630136986285,292,73,7,13,57,28.022794520547883,28.40186301369877,27.6,31.04,25.72,0,0,80.55553424657548,18.671589041095764,4.6956712328767525,92,421.08000000000175,28.00630434782571,7,92,326.8700000000008,28.618260869565507,1,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,0,legacy_source,1.0,18240.0,67490000.0,3700.1096491228072,3700.1096491228072,0.0,Andaman and Nicobar IslandsNICOBARS2002Whole YearCoconut,legacy_source,corroborated_after_scaling,2,24.0,236400.0,,,,24,CCR_78DFC4B39B04003F5E2E,coconut_non_tonne_reporting_unit,0,incompatible_target_unit_coconut
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Coconut,18284.74,68580000.0,3750.6685903108273,33,Andaman and Nicobar Islands|Coconut|Whole Year,2003-07-01,2004-06-30,366,365,1,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_F40068F2EBC48EEC,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_FF96F940E652C426A111,366,366,1.0,True,1916.700000000008,5.236885245901661,306,60,8,8,98,27.853770491803207,28.21551912568319,27.44032786885241,30.57,26.02,0,0,81.92674863388002,17.46292349726788,5.04702185792349,92,560.010000000002,27.731086956520972,1,92,500.3500000000022,28.568369565217637,3,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,0,legacy_source,1.0,18284.74,68580000.0,3750.6685903108273,3750.6685903108273,0.0,Andaman and Nicobar IslandsNICOBARS2003Whole YearCoconut,legacy_source,corroborated_after_scaling,2,33.0,236401.0,,,,33,CCR_429A249351616BDB2009,coconut_non_tonne_reporting_unit,0,incompatible_target_unit_coconut
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Coconut,18394.7,52380000.0,2847.5593513348954,42,Andaman and Nicobar Islands|Coconut|Whole Year,2004-07-01,2005-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_736E49AAF55F7E1E,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_C3523B15FE2C546897D8,365,365,1.0,True,1687.8699999999953,4.624301369863001,287,78,7,8,57,27.964520547945213,28.363808219178225,27.51802739726032,30.54,25.9,0,0,80.77772602739701,17.93969863013698,4.834246575342471,92,532.380000000001,27.684456521738827,2,92,560.2300000000032,28.551521739130177,4,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,0,legacy_source,1.0,18394.7,52380000.0,2847.5593513348954,2847.5593513348954,0.0,Andaman and Nicobar IslandsNICOBARS2004Whole YearCoconut,legacy_source,corroborated_after_scaling,2,42.0,277615.0,,,,42,CCR_90F7FE1B1F452A1F75FB,coconut_non_tonne_reporting_unit,0,incompatible_target_unit_coconut
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Coconut,13876.57,52030000.0,3749.485643786613,50,Andaman and Nicobar Islands|Coconut|Whole Year,2005-07-01,2006-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_FC32ACE67BE70330,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_FAF34FFE77C21659EEFD,365,365,1.0,True,2006.2499999999982,5.496575342465748,300,65,6,8,58,27.787479452054697,28.152986301369893,27.370191780822104,29.83,25.83,0,0,81.60150684931463,17.48635616438361,4.766684931506839,92,461.8299999999963,27.945000000000185,4,92,525.4800000000105,28.359456521738732,2,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,0,legacy_source,1.0,13876.57,52030000.0,3749.485643786613,3749.485643786613,0.0,Andaman and Nicobar IslandsNICOBARS2005Whole YearCoconut,legacy_source,corroborated_after_scaling,2,50.0,277616.0,,,,50,CCR_33AEE151CA3BFAC28091,coconut_non_tonne_reporting_unit,0,incompatible_target_unit_coconut
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Coconut,14358.0,59370000.0,4134.977016297535,56,Andaman and Nicobar Islands|Coconut|Whole Year,2006-07-01,2007-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_0028D95CC3DED0F1,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0,WW_64E2CEC0D8590C886422,365,365,1.0,True,1630.0499999999738,4.465890410958832,281,84,5,22,31,27.89561643835603,28.280931506849456,27.470684931507137,29.87,25.95,0,0,80.31000000000006,18.036191780821955,4.779917808219109,92,505.40999999999985,27.734456521739364,4,92,547.1799999999894,28.526847826086335,2,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,0,legacy_source,1.0,14358.0,59370000.0,4134.977016297535,4134.977016297535,0.0,Andaman and Nicobar IslandsNICOBARS2006Whole YearCoconut,legacy_source,corroborated_after_scaling,2,56.0,277617.0,,,,56,CCR_D3DC365CF1FDBC22DE5C,coconut_non_tonne_reporting_unit,0,incompatible_target_unit_coconut
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Coconut,14560.0,71300000.0,4896.978021978022,76,Andaman and Nicobar Islands|Coconut|Whole Year,2010-07-01,2011-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_0A0E43FDDDB74697,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0,WW_AA7C15D634EB6AF9CDF3,365,365,1.0,True,2478.109999999986,6.7893424657533865,325,40,17,6,105,27.738684931506597,28.086383561642954,27.32635616438339,29.5,24.18,0,0,80.64657534246416,16.516465753424285,4.462493150685045,92,664.6699999999728,27.825217391304804,1,92,401.7300000000032,28.44032608695694,1,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,Andaman and Nicobar Islands,NICOBARS,Whole Year,Coconut,0,legacy_source,1.0,14560.0,71300000.0,4896.978021978022,4896.978021978022,0.0,Andaman and Nicobar IslandsNICOBARS2010Whole YearCoconut,legacy_source,corroborated_after_scaling,2,76.0,363758.0,,,,76,CCR_E366418C11584C9DF135,coconut_non_tonne_reporting_unit,0,incompatible_target_unit_coconut
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Coconut,6992.0,23900000.0,3418.192219679634,83,Andaman and Nicobar Islands|Coconut|Whole Year,2000-07-01,2001-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,DYP_EC967830D874E417,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0,WW_E0D95DDB49AF21D5A4A7,365,365,1.0,True,2747.1600000000053,7.526465753424672,235,130,36,21,38,27.43336986301376,28.507616438355964,26.492547945205455,32.32,22.79,0,0,79.98616438356152,18.003342465753416,4.4463013698630105,92,1007.4900000000016,27.461956521739683,2,92,1023.5999999999949,28.708695652173564,15,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Coconut,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Coconut,0,legacy_source,1.0,6992.0,23900000.0,3418.192219679634,3418.192219679634,0.0,Andaman and Nicobar IslandsNORTH AND MIDDLE ANDAMAN2000Whole YearCoconut,legacy_source,corroborated_after_scaling,2,83.0,529198.0,,,,83,CCR_964EB5D0929F47D13ABB,coconut_non_tonne_reporting_unit,0,incompatible_target_unit_coconut
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Coconut,7015.0,25250000.0,3599.429793300071,93,Andaman and Nicobar Islands|Coconut|Whole Year,2001-07-01,2002-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,DYP_E5A5DA5869F92013,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0,WW_EC3E29F2D0265E875C12,365,365,1.0,True,2228.9900000000125,6.1068219178082535,233,132,27,26,108,27.634383561643862,28.734876712328735,26.663342465753313,32.31,23.38,0,0,79.6477260273965,18.256684931506985,4.318027397260261,92,1074.1600000000108,27.612717391304454,2,92,727.8600000000042,28.78108695652135,6,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Coconut,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Coconut,0,legacy_source,1.0,7015.0,25250000.0,3599.429793300071,3599.429793300071,0.0,Andaman and Nicobar IslandsNORTH AND MIDDLE ANDAMAN2001Whole YearCoconut,legacy_source,corroborated_after_scaling,2,93.0,236402.0,,,,93,CCR_532439EB072C84AE002F,coconut_non_tonne_reporting_unit,0,incompatible_target_unit_coconut
