State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,yield,source_row_id,calendar_rule_key,start_date,end_date,weather_window_days,nominal_rule_window_days,calendar_leap_day_adjustment,calendar_rule_level,calendar_rule_version,calendar_rule_status,calendar_window_type,calendar_state_zone,calendar_crop_group,calendar_rule_basis,calendar_special_note,district_id,district_year_point_id,preferred_census_version,used_census_version,district_point_version_id,weather_point_id,latitude,longitude,point_assignment_method,point_assignment_confidence,alternate_layer_used,shared_parent_boundary,weather_window_id,weather_days_expected,weather_days_present,weather_coverage_ratio,weather_window_valid,rain_sum_mm,rain_mean_mm,rainy_days_ge1mm,dry_days_lt1mm,heavy_rain_days_ge20mm,longest_dry_spell_days,longest_wet_spell_days,temp_mean_c,temp_max_mean_c,temp_min_mean_c,temp_max_absolute_c,temp_min_absolute_c,hot_days_tmax_ge35c,cold_days_tmin_lt10c,humidity_mean_pct,solar_radiation_mean,wind_speed_mean,first_25pct_days,first_25pct_rain_sum_mm,first_25pct_temp_mean_c,first_25pct_longest_dry_spell_days,last_25pct_days,last_25pct_rain_sum_mm,last_25pct_temp_mean_c,last_25pct_heavy_rain_days,State_Name_raw,District_Name_raw,Season_raw,Crop_raw,canonical_state_name,canonical_district_name,Season_canonical,Crop_canonical,district_override_applied,source_name,production_scale_factor,Area_corrected,Production_corrected,yield_source_corrected,target_yield,yield_formula_absolute_difference,_canonical_key,selected_source,source_overlap_status,source_rows_count,legacy_source_row_id,expanded_source_row_id,selected_source_row_id,canonical_crop_row_id,target_unit_group,basic_model_eligibility,basic_exclusion_reason
Assam,UDALGURI,2013,Rabi,Ginger,629.0,6208.0,9.869634340222577,26874,Assam|Ginger|Rabi,2013-10-15,2014-06-11,240,240,0,state_zone+crop+season,v1.0,decided_project_convention,crop_cycle_estimate,east_northeast,ginger,Crop-specific 240-day cycle starting from the east_northeast Rabi anchor.,,IND_ASSAM_UDALGURI,DYP_279B491611ABAAC4,Census 2011,Census 2011,DPV_4C46D938078C904E,WPT_4954545AFB0F01DB1E0E,26.70909974,92.05234176,confirmed_exact_unique,confirmed,0,0,WW_416D358A264A22E2E6EB,240,240,1.0,True,373.43999999999505,1.5559999999999794,52,188,6,82,5,22.46016666666704,28.2275833333338,17.90658333333346,38.44,9.16,38,5,70.61154166666577,16.22729166666662,1.7144583333333305,60,28.10000000000582,21.466333333333992,46,60,286.5200000000041,29.40800000000066,6,Assam,UDALGURI,Rabi,Ginger,Assam,UDALGURI,Rabi,Ginger,0,legacy_source,1.0,629.0,6208.0,9.869634340222577,9.869634340222575,1.7763568394002505e-15,AssamUDALGURI2013RabiGinger,legacy_source,legacy_only,1,26874.0,,26874,CCR_00018381DC49F3A9B8E9,nominal_yield_per_area,1,
Kerala,MALAPPURAM,2012,Whole Year,Mango,7490.0,34568.0,4.615220293724967,98571,Kerala|Mango|Whole Year,2012-07-01,2013-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,fruit_perennial,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_KERALA_MALAPPURAM,DYP_1220B5D347DAEE84,Census 2011,Census 2011,DPV_1858D330E03C6314,WPT_FFE7D790ACE02044E014,11.10532599,76.11484024,confirmed_exact_unique,confirmed,0,0,WW_C021F65B9C990F7D5946,365,365,1.0,True,1766.8599999999606,4.840712328767015,190,175,25,36,31,25.550273972602994,30.268876712329046,22.071917808219457,38.97,16.77,41,0,76.77008219178023,18.7511780821922,1.3821917808219104,92,610.5499999999956,24.021195652174356,10,92,783.2699999999822,26.76260869565063,15,Kerala,MALAPPURAM,Whole Year,Mango,Kerala,MALAPPURAM,Whole Year,Mango,0,legacy_source,1.0,7490.0,34568.0,4.615220293724967,4.615220293724967,0.0,KeralaMALAPPURAM2012Whole YearMango,legacy_source,legacy_only,1,98571.0,,98571,CCR_00043B26AD18182B1580,nominal_yield_per_area,1,
West Bengal,BARDHAMAN,2006,Whole Year,Sannhamp,47.0,334.0,7.1063829787234045,234613,West Bengal|Sannhamp|Whole Year,2006-07-01,2007-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,east_northeast,other_fibre,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_WEST_BENGAL_BARDHAMAN,DYP_C82E8B34C4D54A94,Census 2011,Census 2011,DPV_EFB6CAE298E61A11,WPT_1C6092B001976C3DFA4E,23.40808257,87.89987069,working_fuzzy_same_state,working_fallback,0,0,WW_8FA8FCE4F7BB1326106B,365,365,1.0,True,1245.9900000000089,3.4136712328767365,154,211,13,85,31,25.74342465753446,31.50191780821929,20.758109589041194,43.23,6.79,83,30,69.13419178082171,16.83536986301395,1.8984383561644043,92,767.3400000000038,28.094456521738838,3,92,386.5900000000038,31.658043478260957,4,West Bengal,BARDHAMAN,Whole Year,Sannhamp,West Bengal,BARDHAMAN,Whole Year,Sannhamp,0,legacy_source,1.0,47.0,334.0,7.1063829787234045,7.1063829787234045,0.0,West BengalBARDHAMAN2006Whole YearSannhamp,legacy_source,legacy_only,1,234613.0,,234613,CCR_0006D0AA8E8053C1C7C1,nominal_yield_per_area,1,
Tamil Nadu,TUTICORIN,1997,Whole Year,Ragi,505.0,1270.0,2.514851485148515,185814,Tamil Nadu|Ragi|Whole Year,1997-07-01,1998-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,finger_millet,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_TAMIL_NADU_TUTICORIN,DYP_C40D99C7C548057C,Census 2001,Census 2001,DPV_F4877E4F439152F6,WPT_A820282B3550DAC894F5,10.8492909,78.7249069,working_fuzzy_same_state,working_fallback,0,0,WW_6F9ADE8F9848C25CB79C,365,365,1.0,True,761.6599999999994,2.0867397260273957,101,264,6,113,16,28.318438356164368,34.540547945205475,23.489780821917833,43.96,16.04,170,0,67.66953424657534,18.779753424657542,2.7653424657534256,92,157.62000000000006,28.709239130434774,15,92,62.039999999999964,32.02239130434778,1,Tamil Nadu,TUTICORIN,Whole Year,Ragi,Tamil Nadu,TUTICORIN,Whole Year,Ragi,0,legacy_source,1.0,505.0,1270.0,2.514851485148515,2.514851485148515,0.0,Tamil NaduTUTICORIN1997Whole YearRagi,legacy_source,legacy_only,1,185814.0,,185814,CCR_000C8B9E1453EA4439A8,nominal_yield_per_area,1,
Assam,UDALGURI,2008,Rabi,Blackgram,2294.0,943.0,0.4110723626852659,26693,Assam|Blackgram|Rabi,2008-10-15,2009-01-17,95,95,0,state_zone+crop+season,v1.0,decided_project_convention,crop_cycle_estimate,east_northeast,black_gram,Crop-specific 95-day cycle starting from the east_northeast Rabi anchor.,,IND_ASSAM_UDALGURI,DYP_6B886FA91C4EF254,Census 2011,Census 2011,DPV_4C46D938078C904E,WPT_4954545AFB0F01DB1E0E,26.70909974,92.05234176,confirmed_exact_unique,confirmed,0,0,WW_F0D2949F7292FA1EEF83,95,95,1.0,True,60.919999999998254,0.6412631578947184,7,88,2,23,3,19.21273684210533,24.880842105262932,14.842947368421225,30.13,9.7,0,2,78.9741052631583,14.430947368420311,1.6178947368421128,24,51.45999999999913,22.8987500000009,11,24,4.68999999999869,16.408750000001117,0,Assam,UDALGURI,Rabi,Blackgram,Assam,UDALGURI,Rabi,Blackgram,0,legacy_source,1.0,2294.0,943.0,0.4110723626852659,0.4110723626852659,0.0,AssamUDALGURI2008RabiBlackgram,legacy_source,legacy_only,1,26693.0,,26693,CCR_000F83F1CC3BB3D91895,nominal_yield_per_area,1,
Kerala,THRISSUR,2002,Whole Year,Other Vegetables,1935.0,0.0,0.0,99594,Kerala|Other Vegetables|Whole Year,2002-07-01,2003-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,vegetable,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_KERALA_THRISSUR,DYP_C00CE1D6C5E3EDA0,Census 2001,Census 2001,DPV_3F55D6CEF943B42D,WPT_B3E1B306071CDAB1AE45,10.47835393,76.27307208,confirmed_exact_unique,confirmed,0,0,WW_39EEBFA24AF876E6E12F,365,365,1.0,True,2108.760000000004,5.777424657534257,197,168,32,64,27,26.973452054794414,30.91284931506844,24.047726027397214,37.58,17.72,54,0,78.68805479452115,18.71800000000004,2.075232876712341,92,703.1399999999994,25.623913043478275,15,92,731.0699999999997,28.04043478260855,15,Kerala,THRISSUR,Whole Year,Other Vegetables,Kerala,THRISSUR,Whole Year,Other Vegetables,0,legacy_source,1.0,1935.0,0.0,0.0,0.0,0.0,KeralaTHRISSUR2002Whole YearOther Vegetables,legacy_source,legacy_only,1,99594.0,,99594,CCR_0010410E19A4CA0B80DC,nominal_yield_per_area,1,
Telangana,KHAMMAM,1997,Kharif,Arhar/Tur,25400.0,8400.0,0.3307086614173228,188972,Telangana|Arhar/Tur|Kharif,1997-04-30,1997-11-15,200,200,0,state_zone+crop+season,v1.0,decided_project_convention,crop_cycle_estimate,south_coastal,pigeon_pea,Crop-specific 200-day cycle starting from the south_coastal Kharif anchor.,,IND_TELANGANA_KHAMMAM,DYP_DC5C1946B3B24102,Census 2001,Census 2001,DPV_FF45306F7FBEDBB7,WPT_803A22E3B7EBB2463081,17.70196913,80.81262778,historical_state_boundary_fallback,historical_fallback,0,0,WW_0775908E96DFAD54BF04,200,200,1.0,True,865.1899999999994,4.325949999999997,100,100,11,34,14,28.570650000000015,33.26215000000005,24.398750000000003,46.02,18.68,48,0,71.75204999999997,18.354650000000007,2.1429499999999995,50,64.07000000000008,34.07460000000001,34,50,89.27999999999963,25.61060000000003,0,Telangana,KHAMMAM,Kharif,Arhar/Tur,Telangana,KHAMMAM,Kharif,Arhar/Tur,0,legacy_source,1.0,25400.0,8400.0,0.3307086614173228,0.33070866141732286,5.551115123125783e-17,TelanganaKHAMMAM1997KharifArhar/Tur,legacy_source,legacy_only,1,188972.0,,188972,CCR_0010C10E3D9DBDACE4CD,nominal_yield_per_area,1,
Assam,KAMRUP METRO,2010,Rabi,Banana,563.0,7530.0,13.374777975133217,20632,Assam|Banana|Rabi,2010-10-15,2011-04-30,198,198,0,state_zone+crop+season,v1.0,decided_project_convention,seasonal_reporting_window,east_northeast,fruit_perennial,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,IND_ASSAM_KAMRUP_METRO,DYP_BEAF988C6213A769,Census 2011,Census 2011,DPV_80555B8B9527C20C,WPT_7DA7C8AF5CCC99FB9384,26.14560981,91.22567625,working_fuzzy_same_state,working_fallback,0,0,WW_7E304146E06F056361CC,198,198,1.0,True,167.21999999997934,0.8445454545453502,31,167,1,68,6,20.28580808080836,26.275858585858415,15.622323232323385,34.71,6.93,0,19,74.4382828282815,15.378838383838284,1.669393939393898,50,53.99999999999636,22.109199999999838,25,50,87.82999999999811,25.152200000000885,0,Assam,KAMRUP METRO,Rabi,Banana,Assam,KAMRUP METRO,Rabi,Banana,0,legacy_source,1.0,563.0,7530.0,13.374777975133217,13.374777975133215,1.7763568394002505e-15,AssamKAMRUP METRO2010RabiBanana,legacy_source,legacy_only,1,20632.0,,20632,CCR_001C646E620FA61F3508,nominal_yield_per_area,1,
Tamil Nadu,TUTICORIN,1998,Whole Year,Sugarcane,31.0,3800.0,122.58064516129032,185848,Tamil Nadu|Sugarcane|Whole Year,1998-07-01,1999-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,sugarcane,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_TAMIL_NADU_TUTICORIN,DYP_637626564EA19577,Census 2001,Census 2001,DPV_F4877E4F439152F6,WPT_A820282B3550DAC894F5,10.8492909,78.7249069,working_fuzzy_same_state,working_fallback,0,0,WW_17196705D99F745AC803,365,365,1.0,True,932.2799999999985,2.5541917808219137,113,252,12,56,13,27.073397260273904,33.07263013698633,22.29221917808221,42.91,14.25,107,0,70.6563561643836,20.47624657534248,2.6263835616438334,92,330.4199999999993,27.759239130434686,10,92,165.92999999999984,29.515543478260874,1,Tamil Nadu,TUTICORIN,Whole Year,Sugarcane,Tamil Nadu,TUTICORIN,Whole Year,Sugarcane,0,legacy_source,1.0,31.0,3800.0,122.58064516129032,122.58064516129032,0.0,Tamil NaduTUTICORIN1998Whole YearSugarcane,legacy_source,legacy_only,1,185848.0,,185848,CCR_001CC8D27DE961F7C0EB,nominal_yield_per_area,1,
Uttarakhand,UTTAR KASHI,2003,Rabi,Other Cereals & Millets,2.0,2.0,1.0,232499,Uttarakhand|Other Cereals & Millets|Rabi,2003-10-15,2004-01-27,105,105,0,state_zone+crop+season,v1.0,decided_project_convention,crop_cycle_estimate,north_northwest,minor_cereal,Crop-specific 105-day cycle starting from the north_northwest Rabi anchor.,,IND_UTTARAKHAND_UTTAR_KASHI,DYP_89BF192521895B73,Census 2001,Census 2001,DPV_BAC31543BB3E2251,WPT_3796E1FC6523EB28D2BF,30.96787511,78.63394275,confirmed_exact_unique,confirmed,0,0,WW_BA1E72883F5DFAE6D224,105,105,1.0,True,89.88000000000284,0.8560000000000271,13,92,1,24,4,-5.500476190476183,0.2232380952380308,-9.788761904761989,8.24,-25.7,0,105,54.23895238095152,13.849142857143168,1.4246666666666334,27,17.25,-0.6555555555555403,18,27,52.42000000000098,-9.141111111111092,1,Uttarakhand,UTTAR KASHI,Rabi,Other Cereals & Millets,Uttarakhand,UTTAR KASHI,Rabi,Other Cereals & Millets,0,legacy_source,1.0,2.0,2.0,1.0,1.0,0.0,UttarakhandUTTAR KASHI2003RabiOther Cereals & Millets,legacy_source,legacy_only,1,232499.0,,232499,CCR_0020E64C792015915FAE,nominal_yield_per_area,1,
