canonical_state_name,Crop_Year,Season_canonical,Crop_canonical,area_ratio_pattern,production_ratio_pattern,row_count,corrected_production_matches,legacy_area_min,legacy_area_max,expanded_area_min,expanded_area_max,legacy_target_min,legacy_target_max,expanded_target_min,expanded_target_max,selected_sources,source_overlap_statuses
Maharashtra,2007,Kharif,Moong(Green Gram),100,100,33,0,1.0,741.0,100.0,74100.0,0.3045112781954887,1.0,0.3045112781954887,1.0,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2007,Kharif,Sesamum,100,100,33,0,1.0,222.0,100.0,22200.0,0.171875,1.0,0.171875,1.0,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2007,Kharif,Arhar/Tur,100,100,32,0,6.0,1101.0,600.0,110100.0,0.4319066147859922,1.4063604240282686,0.4319066147859922,1.4063604240282686,legacy_source,conflict_unresolved_legacy_retained
Rajasthan,2009,Kharif,Cotton(lint),1,other,32,0,2.0,174821.0,2.0,174821.0,0.0613795791114575,0.5,0.3609119251753702,2.94,legacy_source,conflict_unresolved_legacy_retained
Rajasthan,2010,Kharif,Cotton(lint),1,other,32,0,2.0,157244.0,2.0,157244.0,0.2061950993989829,0.6391501219087427,1.2124271844660195,3.758202716823407,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2007,Kharif,Urad,100,100,31,0,2.0,663.0,200.0,66300.0,0.25,0.9130434782608696,0.25,0.9130434782608696,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2007,Rabi,Gram,100,100,31,0,19.0,1044.0,1900.0,104400.0,0.5294117647058824,1.116,0.5294117647058824,1.116,legacy_source,conflict_unresolved_legacy_retained
Karnataka,2010,Whole Year,Coconut,1,1000,30,0,20.0,142248.0,20.0,142248.0,5.544013021448636,13.78673254686872,5544.013021448636,13786.73254686872,legacy_source,unresolved_production_unit_conflict
Karnataka,2011,Whole Year,Coconut,1,1000,30,0,20.0,143110.0,20.0,143110.0,5.452916327762181,13.431332439867392,5452.916327762181,13431.33243986739,legacy_source,unresolved_production_unit_conflict
Karnataka,2012,Whole Year,Coconut,1,1000,30,0,21.0,147539.0,21.0,147539.0,5.452923499207307,13.431336123783096,5452.923499207307,13431.336123783098,legacy_source,unresolved_production_unit_conflict
