canonical_state_name,canonical_district_name,Crop_Year,Season_canonical,Crop_canonical,legacy_source_row_id,expanded_source_row_id,old_selected_source,new_selected_source,old_Area_corrected,new_Area_corrected,old_Production_corrected,new_Production_corrected,old_target_yield,new_target_yield,unit_correction_type,unit_correction_factor,unit_correction_evidence
Punjab,AMRITSAR,2009,Whole Year,Sugarcane,158703,349691,legacy_source,expanded_source_x100,300.0,3000.0,18000.0,18000.0,60.0,6.0,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,AMRITSAR,2011,Whole Year,Sugarcane,158722,395669,legacy_source,expanded_source_x100,3.0,3000.0,203000.0,203000.0,67666.66666666667,67.66666666666667,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,FATEHGARH SAHIB,2009,Whole Year,Sugarcane,159234,349692,legacy_source,expanded_source_x100,200.0,2000.0,15000.0,15000.0,75.0,7.5,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,FATEHGARH SAHIB,2011,Whole Year,Sugarcane,159239,395671,legacy_source,expanded_source_x100,2.0,2000.0,151000.0,151000.0,75500.0,75.5,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,FAZILKA,2011,Whole Year,Sugarcane,159258,395673,legacy_source,expanded_source_x100,1.0,1000.0,73000.0,73000.0,73000.0,73.0,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,FIROZEPUR,2009,Whole Year,Sugarcane,159432,349693,legacy_source,expanded_source_x100,100.0,1000.0,6000.0,6000.0,60.0,6.0,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,GURDASPUR,2009,Whole Year,Sugarcane,159599,349694,legacy_source,expanded_source_x100,1900.0,19000.0,124000.0,124000.0,65.26315789473684,6.526315789473684,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,GURDASPUR,2011,Whole Year,Sugarcane,159618,395676,legacy_source,expanded_source_x100,20.0,20000.0,1491000.0,1491000.0,74550.0,74.55,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,HOSHIARPUR,2009,Whole Year,Sugarcane,159790,349695,legacy_source,expanded_source_x100,1400.0,14000.0,76000.0,76000.0,54.285714285714285,5.428571428571429,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,HOSHIARPUR,2011,Whole Year,Sugarcane,159812,395678,legacy_source,expanded_source_x100,20.0,20000.0,1293000.0,1293000.0,64650.0,64.65,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,JALANDHAR,2009,Whole Year,Sugarcane,159975,349696,legacy_source,expanded_source_x100,700.0,7000.0,42000.0,42000.0,60.0,6.0,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,JALANDHAR,2011,Whole Year,Sugarcane,159990,395680,legacy_source,expanded_source_x100,9.0,9000.0,599000.0,599000.0,66555.55555555556,66.55555555555556,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,KAPURTHALA,2009,Whole Year,Sugarcane,160110,349697,legacy_source,expanded_source_x100,300.0,3000.0,18000.0,18000.0,60.0,6.0,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,KAPURTHALA,2011,Whole Year,Sugarcane,160121,395682,legacy_source,expanded_source_x100,3.0,3000.0,221000.0,221000.0,73666.66666666667,73.66666666666667,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,LUDHIANA,2009,Whole Year,Sugarcane,160270,349698,legacy_source,expanded_source_x100,100.0,1000.0,6000.0,6000.0,60.0,6.0,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,LUDHIANA,2011,Whole Year,Sugarcane,160289,395684,legacy_source,expanded_source_x100,2.0,2000.0,161000.0,161000.0,80500.0,80.5,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,NAWANSHAHR,2009,Whole Year,Sugarcane,160926,349699,legacy_source,expanded_source_x100,500.0,5000.0,31000.0,31000.0,62.0,6.2,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,NAWANSHAHR,2011,Whole Year,Sugarcane,160936,395686,legacy_source,expanded_source_x100,6.0,6000.0,407000.0,407000.0,67833.33333333333,67.83333333333333,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,PATHANKOT,2011,Whole Year,Sugarcane,160957,395688,legacy_source,expanded_source_x100,4.0,4000.0,298000.0,298000.0,74500.0,74.5,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,PATIALA,2009,Whole Year,Sugarcane,161129,349700,legacy_source,expanded_source_x100,100.0,1000.0,8000.0,8000.0,80.0,8.0,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,PATIALA,2011,Whole Year,Sugarcane,161144,395690,legacy_source,expanded_source_x100,3.0,3000.0,264000.0,264000.0,88000.0,88.0,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,RUPNAGAR,2009,Whole Year,Sugarcane,161298,349701,legacy_source,expanded_source_x100,200.0,2000.0,13000.0,13000.0,65.0,6.5,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,RUPNAGAR,2011,Whole Year,Sugarcane,161312,395692,legacy_source,expanded_source_x100,3.0,3000.0,224000.0,224000.0,74666.66666666667,74.66666666666667,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,S.A.S NAGAR,2009,Whole Year,Sugarcane,161365,349702,legacy_source,expanded_source_x100,100.0,1000.0,5000.0,5000.0,50.0,5.0,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,S.A.S NAGAR,2011,Whole Year,Sugarcane,161381,395694,legacy_source,expanded_source_x100,1.0,1000.0,65000.0,65000.0,65000.0,65.0,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,SANGRUR,2009,Whole Year,Sugarcane,161565,349703,legacy_source,expanded_source_x100,100.0,1000.0,8000.0,8000.0,80.0,8.0,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
Punjab,SANGRUR,2011,Whole Year,Sugarcane,161584,395696,legacy_source,expanded_source_x100,2.0,2000.0,163000.0,163000.0,81500.0,81.5,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Punjab,TARN TARAN,2011,Whole Year,Sugarcane,161673,395698,legacy_source,expanded_source_x100,1.0,1000.0,40000.0,40000.0,40000.0,40.0,area_unit_conflict,1000.0,corrected_production_match; area_ratio_expanded_to_legacy=1000.0; selected_source=expanded_source_x100
Telangana,RANGAREDDI,2014,Kharif,Onion,192746,446915,legacy_source,expanded_source_x100,24.0,240.0,2740.0,2740.0,114.16666666666667,11.416666666666666,area_unit_conflict,10.0,corrected_production_match; area_ratio_expanded_to_legacy=10.0; selected_source=expanded_source_x100
