State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,yield,source_row_id,calendar_rule_key,start_date,end_date,weather_window_days,nominal_rule_window_days,calendar_leap_day_adjustment,calendar_rule_level,calendar_rule_version,calendar_rule_status,calendar_window_type,calendar_state_zone,calendar_crop_group,calendar_rule_basis,calendar_special_note,district_id,district_year_point_id,preferred_census_version,used_census_version,district_point_version_id,weather_point_id,latitude,longitude,point_assignment_method,point_assignment_confidence,alternate_layer_used,shared_parent_boundary,weather_window_id,weather_days_expected,weather_days_present,weather_coverage_ratio,weather_window_valid,rain_sum_mm,rain_mean_mm,rainy_days_ge1mm,dry_days_lt1mm,heavy_rain_days_ge20mm,longest_dry_spell_days,longest_wet_spell_days,temp_mean_c,temp_max_mean_c,temp_min_mean_c,temp_max_absolute_c,temp_min_absolute_c,hot_days_tmax_ge35c,cold_days_tmin_lt10c,humidity_mean_pct,solar_radiation_mean,wind_speed_mean,first_25pct_days,first_25pct_rain_sum_mm,first_25pct_temp_mean_c,first_25pct_longest_dry_spell_days,last_25pct_days,last_25pct_rain_sum_mm,last_25pct_temp_mean_c,last_25pct_heavy_rain_days
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Arecanut,1254.0,2000.0,1.594896331738437,1,Andaman and Nicobar Islands|Arecanut|Kharif,2000-05-15,2000-11-30,200,200,0,state_zone+crop+season,v1.0,decided_project_convention,seasonal_reporting_window,south_coastal,arecanut,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_6A74AEE32D143BE812AE,200,200,1.0,True,1306.1200000000053,6.530600000000026,173,27,11,10,56,27.512050000000073,27.845300000000314,27.130099999999928,29.34,25.62,0,0,83.05285000000055,16.723800000000118,5.676799999999994,50,372.85000000000036,27.95219999999979,2,50,396.430000000003,27.15479999999996,4
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Other Kharif pulses,2.0,1.0,0.5,2,Andaman and Nicobar Islands|Other Kharif pulses|Kharif,2000-05-15,2000-11-30,200,200,0,state_zone+crop+season,v1.0,decided_project_convention,aggregate_reporting_window,south_coastal,aggregate_kharif_pulses,Aggregate crop category mapped to the complete reporting-season window.,Aggregate crop category; uses the full reporting-season window.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_6A74AEE32D143BE812AE,200,200,1.0,True,1306.1200000000053,6.530600000000026,173,27,11,10,56,27.512050000000073,27.845300000000314,27.130099999999928,29.34,25.62,0,0,83.05285000000055,16.723800000000118,5.676799999999994,50,372.85000000000036,27.95219999999979,2,50,396.430000000003,27.15479999999996,4
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,321.0,3.147058823529412,3,Andaman and Nicobar Islands|Rice|Kharif,2000-05-15,2000-10-11,150,150,0,state_zone+crop+season,v1.0,decided_project_convention,crop_cycle_estimate,south_coastal,rice,Crop-specific 150-day cycle starting from the south_coastal Kharif anchor.,,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_45ECFC6CDF9EEC6060B5,150,150,1.0,True,909.6900000000023,6.0646000000000155,131,19,7,10,39,27.631133333333445,27.952333333333712,27.26539999999991,29.34,25.62,0,0,82.99346666666717,17.17380000000012,5.918399999999977,38,270.579999999999,28.08184210526327,2,38,243.70999999999913,27.102105263157636,2
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Banana,176.0,641.0,3.642045454545455,4,Andaman and Nicobar Islands|Banana|Whole Year,2000-07-01,2001-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,fruit_perennial,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_8CE740368D8229123B80,365,365,1.0,True,1925.7400000000061,5.276000000000017,302,63,11,10,56,27.54169863013703,27.902876712328833,27.13284931506847,29.43,25.62,0,0,81.68457534246598,17.3857534246576,4.830821917808215,92,498.1600000000035,27.53086956521775,10,92,479.1700000000019,28.153478260869516,0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Cashewnut,720.0,165.0,0.2291666666666666,5,Andaman and Nicobar Islands|Cashewnut|Whole Year,2000-07-01,2001-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,cashew,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_8CE740368D8229123B80,365,365,1.0,True,1925.7400000000061,5.276000000000017,302,63,11,10,56,27.54169863013703,27.902876712328833,27.13284931506847,29.43,25.62,0,0,81.68457534246598,17.3857534246576,4.830821917808215,92,498.1600000000035,27.53086956521775,10,92,479.1700000000019,28.153478260869516,0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Coconut,18168.0,65100000.0,3583.223249669749,6,Andaman and Nicobar Islands|Coconut|Whole Year,2000-07-01,2001-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_8CE740368D8229123B80,365,365,1.0,True,1925.7400000000061,5.276000000000017,302,63,11,10,56,27.54169863013703,27.902876712328833,27.13284931506847,29.43,25.62,0,0,81.68457534246598,17.3857534246576,4.830821917808215,92,498.1600000000035,27.53086956521775,10,92,479.1700000000019,28.153478260869516,0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Dry ginger,36.0,100.0,2.7777777777777777,7,Andaman and Nicobar Islands|Dry ginger|Whole Year,2000-07-01,2001-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,ginger,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_8CE740368D8229123B80,365,365,1.0,True,1925.7400000000061,5.276000000000017,302,63,11,10,56,27.54169863013703,27.902876712328833,27.13284931506847,29.43,25.62,0,0,81.68457534246598,17.3857534246576,4.830821917808215,92,498.1600000000035,27.53086956521775,10,92,479.1700000000019,28.153478260869516,0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sugarcane,1.0,2.0,2.0,8,Andaman and Nicobar Islands|Sugarcane|Whole Year,2000-07-01,2001-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,sugarcane,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_8CE740368D8229123B80,365,365,1.0,True,1925.7400000000061,5.276000000000017,302,63,11,10,56,27.54169863013703,27.902876712328833,27.13284931506847,29.43,25.62,0,0,81.68457534246598,17.3857534246576,4.830821917808215,92,498.1600000000035,27.53086956521775,10,92,479.1700000000019,28.153478260869516,0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sweet potato,5.0,15.0,3.0,9,Andaman and Nicobar Islands|Sweet potato|Whole Year,2000-07-01,2001-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,sweet_potato,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_8CE740368D8229123B80,365,365,1.0,True,1925.7400000000061,5.276000000000017,302,63,11,10,56,27.54169863013703,27.902876712328833,27.13284931506847,29.43,25.62,0,0,81.68457534246598,17.3857534246576,4.830821917808215,92,498.1600000000035,27.53086956521775,10,92,479.1700000000019,28.153478260869516,0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Tapioca,40.0,169.0,4.225,10,Andaman and Nicobar Islands|Tapioca|Whole Year,2000-07-01,2001-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,tapioca,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_D4C6855A334B7AE4,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_8CE740368D8229123B80,365,365,1.0,True,1925.7400000000061,5.276000000000017,302,63,11,10,56,27.54169863013703,27.902876712328833,27.13284931506847,29.43,25.62,0,0,81.68457534246598,17.3857534246576,4.830821917808215,92,498.1600000000035,27.53086956521775,10,92,479.1700000000019,28.153478260869516,0
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Arecanut,1254.0,2061.0,1.6435406698564594,11,Andaman and Nicobar Islands|Arecanut|Kharif,2001-05-15,2001-11-30,200,200,0,state_zone+crop+season,v1.0,decided_project_convention,seasonal_reporting_window,south_coastal,arecanut,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_348FEFCE8191BD27,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_6CF31F6EE442DBDAE20F,200,200,1.0,True,1363.21,6.816050000000001,195,5,9,3,105,27.480899999999966,27.79199999999997,27.112750000000162,29.19,25.65,0,0,84.14674999999937,16.31794999999993,5.451150000000016,50,281.5700000000015,28.105800000000162,1,50,461.6800000000003,26.85540000000008,6
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Other Kharif pulses,2.0,1.0,0.5,12,Andaman and Nicobar Islands|Other Kharif pulses|Kharif,2001-05-15,2001-11-30,200,200,0,state_zone+crop+season,v1.0,decided_project_convention,aggregate_reporting_window,south_coastal,aggregate_kharif_pulses,Aggregate crop category mapped to the complete reporting-season window.,Aggregate crop category; uses the full reporting-season window.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_348FEFCE8191BD27,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_6CF31F6EE442DBDAE20F,200,200,1.0,True,1363.21,6.816050000000001,195,5,9,3,105,27.480899999999966,27.79199999999997,27.112750000000162,29.19,25.65,0,0,84.14674999999937,16.31794999999993,5.451150000000016,50,281.5700000000015,28.105800000000162,1,50,461.6800000000003,26.85540000000008,6
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83.0,300.0,3.614457831325301,13,Andaman and Nicobar Islands|Rice|Kharif,2001-05-15,2001-10-11,150,150,0,state_zone+crop+season,v1.0,decided_project_convention,crop_cycle_estimate,south_coastal,rice,Crop-specific 150-day cycle starting from the south_coastal Kharif anchor.,,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_348FEFCE8191BD27,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_82332C2E3CBAAEFF9A9A,150,150,1.0,True,901.5299999999997,6.010199999999998,145,5,3,3,55,27.689399999999925,27.999866666666495,27.33113333333347,29.19,25.86,0,0,83.72079999999968,16.979533333333286,5.9978666666666385,38,203.5600000000013,28.041842105263065,1,38,325.5700000000015,27.005789473684242,3
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Cashewnut,719.0,192.0,0.2670375521557719,14,Andaman and Nicobar Islands|Cashewnut|Whole Year,2001-07-01,2002-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,cashew,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_348FEFCE8191BD27,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_4570739A72A461C07707,365,365,1.0,True,1830.870000000009,5.016082191780846,294,71,13,11,109,27.670438356164283,28.043342465753383,27.24416438356167,30.02,25.65,0,0,82.20246575342476,17.949424657534287,4.978547945205475,92,552.0399999999981,27.54695652173897,3,92,385.33000000001084,28.49097826086907,2
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Coconut,18190.0,64430000.0,3542.056074766356,15,Andaman and Nicobar Islands|Coconut|Whole Year,2001-07-01,2002-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,coconut,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_348FEFCE8191BD27,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_4570739A72A461C07707,365,365,1.0,True,1830.870000000009,5.016082191780846,294,71,13,11,109,27.670438356164283,28.043342465753383,27.24416438356167,30.02,25.65,0,0,82.20246575342476,17.949424657534287,4.978547945205475,92,552.0399999999981,27.54695652173897,3,92,385.33000000001084,28.49097826086907,2
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Dry ginger,46.0,100.0,2.1739130434782608,16,Andaman and Nicobar Islands|Dry ginger|Whole Year,2001-07-01,2002-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,ginger,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_348FEFCE8191BD27,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_4570739A72A461C07707,365,365,1.0,True,1830.870000000009,5.016082191780846,294,71,13,11,109,27.670438356164283,28.043342465753383,27.24416438356167,30.02,25.65,0,0,82.20246575342476,17.949424657534287,4.978547945205475,92,552.0399999999981,27.54695652173897,3,92,385.33000000001084,28.49097826086907,2
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sugarcane,1.0,1.0,1.0,17,Andaman and Nicobar Islands|Sugarcane|Whole Year,2001-07-01,2002-06-30,365,365,0,state_zone+crop+season,v1.0,decided_project_convention,annual_reporting_window,south_coastal,sugarcane,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,DYP_348FEFCE8191BD27,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0,WW_4570739A72A461C07707,365,365,1.0,True,1830.870000000009,5.016082191780846,294,71,13,11,109,27.670438356164283,28.043342465753383,27.24416438356167,30.02,25.65,0,0,82.20246575342476,17.949424657534287,4.978547945205475,92,552.0399999999981,27.54695652173897,3,92,385.33000000001084,28.49097826086907,2
