State_Name,District_Name,first_year,last_year,crop_rows,unique_years,unique_crops,unique_seasons,district_id,normalized_state_name,normalized_district_name,state_compare_key,district_compare_key,flag_name_too_short,flag_single_character_name,flag_contains_digit,flag_contains_parentheses,flag_contains_unusual_punctuation,flag_multiple_spaces_original,flag_leading_or_trailing_space_original,flag_duplicate_normalized_within_state,flag_same_district_name_multiple_states,flag_multiple_raw_names_same_normalized_key,flag_possible_truncation,issue_count,review_priority,flag_requires_manual_review,review_status
Andaman and Nicobar Islands,Andaman and Nicobar Islands,2007,2009,72,3,20,5,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andaman and Nicobar Islands,NICOBARS,2000,2014,209,12,19,4,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,2014,184,8,25,5,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,2014,225,10,24,5,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andhra Pradesh,ADILABAD,1997,2012,548,16,38,3,IND_ANDHRA_PRADESH_ADILABAD,ANDHRA PRADESH,ADILABAD,ANDHRA PRADESH,ADILABAD,0,0,0,0,0,0,0,0,1,0,0,1,medium,1,pending
Andhra Pradesh,ANANTAPUR,1997,2014,1474,18,60,3,IND_ANDHRA_PRADESH_ANANTAPUR,ANDHRA PRADESH,ANANTAPUR,ANDHRA PRADESH,ANANTAPUR,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andhra Pradesh,CHITTOOR,1997,2014,1469,18,60,3,IND_ANDHRA_PRADESH_CHITTOOR,ANDHRA PRADESH,CHITTOOR,ANDHRA PRADESH,CHITTOOR,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andhra Pradesh,EAST GODAVARI,1997,2014,1423,18,63,3,IND_ANDHRA_PRADESH_EAST_GODAVARI,ANDHRA PRADESH,EAST GODAVARI,ANDHRA PRADESH,EAST GODAVARI,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andhra Pradesh,GUNTUR,1997,2014,1290,18,54,3,IND_ANDHRA_PRADESH_GUNTUR,ANDHRA PRADESH,GUNTUR,ANDHRA PRADESH,GUNTUR,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andhra Pradesh,HYDERABAD,1997,2000,8,4,2,2,IND_ANDHRA_PRADESH_HYDERABAD,ANDHRA PRADESH,HYDERABAD,ANDHRA PRADESH,HYDERABAD,0,0,0,0,0,0,0,0,1,0,0,1,medium,1,pending
Andhra Pradesh,KADAPA,1997,2014,1542,18,63,3,IND_ANDHRA_PRADESH_KADAPA,ANDHRA PRADESH,KADAPA,ANDHRA PRADESH,KADAPA,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andhra Pradesh,KARIMNAGAR,1997,2012,486,16,32,3,IND_ANDHRA_PRADESH_KARIMNAGAR,ANDHRA PRADESH,KARIMNAGAR,ANDHRA PRADESH,KARIMNAGAR,0,0,0,0,0,0,0,0,1,0,0,1,medium,1,pending
Andhra Pradesh,KHAMMAM,1997,2012,506,16,36,3,IND_ANDHRA_PRADESH_KHAMMAM,ANDHRA PRADESH,KHAMMAM,ANDHRA PRADESH,KHAMMAM,0,0,0,0,0,0,0,0,1,0,0,1,medium,1,pending
Andhra Pradesh,KRISHNA,1997,2014,1192,18,57,3,IND_ANDHRA_PRADESH_KRISHNA,ANDHRA PRADESH,KRISHNA,ANDHRA PRADESH,KRISHNA,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andhra Pradesh,KURNOOL,1997,2014,1553,18,62,3,IND_ANDHRA_PRADESH_KURNOOL,ANDHRA PRADESH,KURNOOL,ANDHRA PRADESH,KURNOOL,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
Andhra Pradesh,MAHBUBNAGAR,1997,2012,560,16,36,3,IND_ANDHRA_PRADESH_MAHBUBNAGAR,ANDHRA PRADESH,MAHBUBNAGAR,ANDHRA PRADESH,MAHBUBNAGAR,0,0,0,0,0,0,0,0,1,0,0,1,medium,1,pending
Andhra Pradesh,MEDAK,1997,2012,597,16,40,3,IND_ANDHRA_PRADESH_MEDAK,ANDHRA PRADESH,MEDAK,ANDHRA PRADESH,MEDAK,0,0,0,0,0,0,0,0,1,0,0,1,medium,1,pending
Andhra Pradesh,NALGONDA,1997,2012,447,16,32,3,IND_ANDHRA_PRADESH_NALGONDA,ANDHRA PRADESH,NALGONDA,ANDHRA PRADESH,NALGONDA,0,0,0,0,0,0,0,0,1,0,0,1,medium,1,pending
Andhra Pradesh,NIZAMABAD,1997,2012,560,16,37,3,IND_ANDHRA_PRADESH_NIZAMABAD,ANDHRA PRADESH,NIZAMABAD,ANDHRA PRADESH,NIZAMABAD,0,0,0,0,0,0,0,0,1,0,0,1,medium,1,pending
Andhra Pradesh,PRAKASAM,1997,2014,1514,18,60,3,IND_ANDHRA_PRADESH_PRAKASAM,ANDHRA PRADESH,PRAKASAM,ANDHRA PRADESH,PRAKASAM,0,0,0,0,0,0,0,0,0,0,0,0,low,0,no_issue_detected
