problem_district_id,problem_state,problem_district,candidate_district_id,candidate_state,candidate_district,same_year_season_crop_count,same_area_count,same_production_count,same_yield_count,exact_data_row_match_count,production_ratio_10_count,production_ratio_100_count,production_ratio_1000_count,first_year,last_year,candidate_unique_crops,candidate_unique_seasons,evidence_summary,candidate_status
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_AMRITSAR,Punjab,AMRITSAR,114,14,12,11,5,3,16,0,1997,2014,18,3,114 shared Crop_Year+Season+Crop rows; 14 same Area; 12 same Production; 11 same yield; 5 exact data-row matches; ratio hits x10/x100/x1000 = 3/16/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_BARNALA,Punjab,BARNALA,67,13,4,11,4,3,12,0,2007,2014,10,3,67 shared Crop_Year+Season+Crop rows; 13 same Area; 4 same Production; 11 same yield; 4 exact data-row matches; ratio hits x10/x100/x1000 = 3/12/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_BATHINDA,Punjab,BATHINDA,60,4,2,6,2,0,6,0,1997,2014,15,3,60 shared Crop_Year+Season+Crop rows; 4 same Area; 2 same Production; 6 same yield; 2 exact data-row matches; ratio hits x10/x100/x1000 = 0/6/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_FARIDKOT,Punjab,FARIDKOT,46,4,3,5,3,2,5,0,1997,2014,13,3,46 shared Crop_Year+Season+Crop rows; 4 same Area; 3 same Production; 5 same yield; 3 exact data-row matches; ratio hits x10/x100/x1000 = 2/5/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_FATEHGARH_SAHIB,Punjab,FATEHGARH SAHIB,70,2,0,2,0,0,2,0,1997,2014,14,3,70 shared Crop_Year+Season+Crop rows; 2 same Area; 0 same Production; 2 same yield; 0 exact data-row matches; ratio hits x10/x100/x1000 = 0/2/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_FAZILKA,Punjab,FAZILKA,22,5,1,1,1,0,1,0,2011,2014,10,3,22 shared Crop_Year+Season+Crop rows; 5 same Area; 1 same Production; 1 same yield; 1 exact data-row matches; ratio hits x10/x100/x1000 = 0/1/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_FIROZEPUR,Punjab,FIROZEPUR,72,7,1,5,1,0,5,0,1997,2014,19,3,72 shared Crop_Year+Season+Crop rows; 7 same Area; 1 same Production; 5 same yield; 1 exact data-row matches; ratio hits x10/x100/x1000 = 0/5/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_GURDASPUR,Punjab,GURDASPUR,116,6,7,7,4,8,8,1,1997,2014,17,3,116 shared Crop_Year+Season+Crop rows; 6 same Area; 7 same Production; 7 same yield; 4 exact data-row matches; ratio hits x10/x100/x1000 = 8/8/1,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_HOSHIARPUR,Punjab,HOSHIARPUR,132,11,12,12,5,4,19,0,1997,2014,18,3,132 shared Crop_Year+Season+Crop rows; 11 same Area; 12 same Production; 12 same yield; 5 exact data-row matches; ratio hits x10/x100/x1000 = 4/19/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_JALANDHAR,Punjab,JALANDHAR,94,9,2,8,2,0,8,0,1997,2014,18,3,94 shared Crop_Year+Season+Crop rows; 9 same Area; 2 same Production; 8 same yield; 2 exact data-row matches; ratio hits x10/x100/x1000 = 0/8/0,reviewed_overlap_no_correction
