column_name,role,dtype,feature_set_membership,missing_count_total,missing_count_train,missing_count_validation,missing_count_test,allowed_for_model,notes
canonical_crop_row_id,identifier,str,,0,0,0,0,False,
district_id,identifier,str,,0,0,0,0,False,
data_split,identifier,str,,0,0,0,0,False,
canonical_state_name,categorical_feature,str,core_without_lag;core_with_lag,0,0,0,0,True,
canonical_district_name,categorical_feature,str,core_without_lag;core_with_lag,0,0,0,0,True,
Crop_canonical,categorical_feature,str,core_without_lag;core_with_lag,0,0,0,0,True,
Season_canonical,categorical_feature,str,core_without_lag;core_with_lag,0,0,0,0,True,
Crop_Year,numeric_core_feature,int64,core_without_lag;core_with_lag,0,0,0,0,True,
Area_corrected,numeric_core_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
latitude,numeric_core_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
longitude,numeric_core_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
rain_sum_mm,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
rain_mean_mm,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
rainy_days_ge1mm,weather_feature,int64,core_without_lag;core_with_lag,0,0,0,0,True,
dry_days_lt1mm,weather_feature,int64,core_without_lag;core_with_lag,0,0,0,0,True,
heavy_rain_days_ge20mm,weather_feature,int64,core_without_lag;core_with_lag,0,0,0,0,True,
longest_dry_spell_days,weather_feature,int64,core_without_lag;core_with_lag,0,0,0,0,True,
longest_wet_spell_days,weather_feature,int64,core_without_lag;core_with_lag,0,0,0,0,True,
temp_mean_c,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
temp_max_mean_c,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
temp_min_mean_c,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
temp_max_absolute_c,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
temp_min_absolute_c,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
hot_days_tmax_ge35c,weather_feature,int64,core_without_lag;core_with_lag,0,0,0,0,True,
cold_days_tmin_lt10c,weather_feature,int64,core_without_lag;core_with_lag,0,0,0,0,True,
humidity_mean_pct,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
solar_radiation_mean,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
wind_speed_mean,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
first_25pct_rain_sum_mm,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
first_25pct_temp_mean_c,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
first_25pct_longest_dry_spell_days,weather_feature,int64,core_without_lag;core_with_lag,0,0,0,0,True,
last_25pct_rain_sum_mm,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
last_25pct_temp_mean_c,weather_feature,float64,core_without_lag;core_with_lag,0,0,0,0,True,
last_25pct_heavy_rain_days,weather_feature,int64,core_without_lag;core_with_lag,0,0,0,0,True,
lag_yield_1y,lag_feature,float64,core_with_lag,53963,45797,4387,3779,True,
lag_available,lag_feature,int64,core_with_lag,0,0,0,0,True,
lag_source_crop_year,lag_metadata,Int64,,53963,45797,4387,3779,False,
lag_source_canonical_crop_row_id,identifier,str,,53963,45797,4387,3779,False,
target_yield,target,float64,,0,0,0,0,False,target column
