weather_point_id,latitude,longitude,status,http_status,rows,start_date,end_date,message
WPT_003AD3840DF18826D6B1,27.44737828,82.40371527,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_015E81DED88E7F83F58B,12.73303259,78.81318614,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0163A4F1013790968CFE,21.14427311,80.2695251,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_01CF3B44622E055534C2,25.74671303,76.92610042,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_020D96BEC2F2888EE03F,27.05198206,84.33381319,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0254264E124EF69FBF16,27.36418623,88.188754,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_025ACDAEC10A2492E4A9,26.2567217,91.60095449,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_02B6FF1D8243F3DC9C6B,25.2145712,85.4532958,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_02EA04238BFC859225B5,26.94132707,81.38446535,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0339A2ED09281F2860EB,22.46864466,72.73464709,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_03C939AE3DA5678BF3EA,28.29741878,94.6497667,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_04AC8F0EEB337EEC65CF,26.47741477,94.51038541,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_05859939BB82D5AC82BF,23.42793388,82.31884711,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0614E33ECF903E7C5168,16.16330302,74.88938778,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_06CE402DBA08A89A4004,27.26853481,96.06218313,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_06E5BDC43C39F6EC2EEF,10.04471139,76.49757527,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_072B90332CED524082AC,31.1273902,76.1623325,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_07CE0D6B69F2CE29608C,19.15693604,74.85524049,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_07DDB35B934FCD92D204,22.91782639,74.13667396,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_082B2831D1DC8F2D603F,22.91320402,88.01658812,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_084B6CF3FA2F6648159C,20.225704,74.10044106,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0930BEB22719B7D88ECF,22.77008367,83.97470143,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_09FF6C0A0EF0A66F4A13,27.17881753,83.49097998,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0A0E539113BA87F62576,11.64459349,78.21081616,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0A7D264EE079400A48CD,21.58796117,85.67113324,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0AAF4CF8AD971F76EEEB,15.57612597,76.31220857,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0B0E5696590A71696857,17.63856076,74.30011997,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0B23E8D6EB34679F8D80,20.06397214,78.3554211,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0C15841A704B73C8A925,11.97581652,79.17168448,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0C2CFEE83B413A15F566,23.29381271,75.6296585,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0CBD491BD5F46FF164FA,27.26139907,82.86966612,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0D65D99E9470FD8905DD,25.52861002,78.65033899,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0E2BDBE4CECAA3939A47,14.30426857,76.53278022,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0EB3571FB1CC38FE1643,28.11896608,73.11310759,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_0ED55D5C07F58C8DEC14,27.60715373,81.86206908,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_10F2CF30FE3AAF95835B,19.44467817,81.47732379,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_110D4731CEAFE6C856CD,30.05323484,76.81356397,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_11184A2BB214D8D4C60A,28.96817262,95.72266254,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_114D51998474E4ED2A2D,15.1978239,76.70988428,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_11624669B14D15ABFB95,26.51520223,90.12364133,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_120B2E42329DD0DD359B,26.45405827,91.03469171,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_125A4622FA412029A0E6,20.83475771,85.60419553,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_127C05430DC14B5B3B2E,23.86806932,76.77555253,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_12B75A65A5F391B35005,26.20539331,92.61105585,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1385D4DDB84804CEBAB4,30.55395577,74.24085142,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_13CD02430844C5A2C871,25.10313637,93.96492562,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_140C4F0A26E4A6142680,25.12500657,85.81389786,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_14C1C6529C80218406B9,24.97521311,83.57853063,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_14E98038338F447E3969,22.24469779,77.10233892,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1607B88CED7A3C0FCF3C,20.71944809,70.93083381,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_16089D50027105CD6B75,26.64772222,91.45653128,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_163328C08105AD0E06AD,26.7568496,83.04405115,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_16E7570934DB063C1C8F,14.05458584,75.23806597,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_17424EF9CE6FD10A76B4,26.65614937,79.51565728,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_175960BE57FB9E477E9C,11.28587383,78.93232562,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1759BF5336E8C8CA1DE2,26.43969078,80.27020712,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1763593094160A70DB21,29.85674424,76.46695503,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_17EAB0D4D3D0532877DB,33.86556233,74.64895965,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_186030A419156963E5E0,25.46663672,85.1931215,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_18FBFC6908B45DADE1ED,23.82750339,91.96925796,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_194856BF2349CC38AAB9,9.62963529,76.6485794,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1988A8D44D267A147937,21.879919,77.87552077,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_198B607317856F96215F,24.50635071,92.63171415,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_19BE57AD00142C9A98DA,26.20736522,81.22061558,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1A199EB93AAA02F8754E,32.7509815,74.90479526,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1A5549B23E8E9DB37E5B,30.79738667,75.16208996,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1A60D7C444103989E252,26.59873656,90.11777428,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1ADFA46E1A43C5E45CD5,23.46431107,81.63029497,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1B006D8F6F99CFD9DD9F,18.59746051,81.24444131,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1B1491D90CEF0D095C7F,29.87605798,75.48874358,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1BE8F7F5EF8D991439DB,29.03963043,77.3146877,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1C0701233ED9DADFBDA4,26.32681754,94.00622198,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1C3051B1772C8B896A0B,26.48479467,91.41561118,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1C6092B001976C3DFA4E,23.40808257,87.89987069,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1CA43FC068FF66ADEEFC,30.46609776,78.48927856,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1CC9FC37EC32D7C47271,31.60597364,75.86035056,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1D54504FEC503FBCCD41,28.08005261,75.53672113,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1D759F4A421723A0075B,22.56218001,85.55523308,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1E33FD7F6158244E30C3,27.06026018,74.20587262,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1E7D24AAE71FAF3B81A4,34.12547523,74.53149264,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1F5DB2AE54F3B8EF2BD7,24.49858476,77.2593085,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1F99EF4B5151FA73ABC9,28.39069984,77.98819474,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_1FD16269A75AC19460E4,17.17172707,74.59237298,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_20A46ACE6F64423F0F46,25.93191784,89.98934268,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_20B04FC6B0141E1E72DC,22.9740802,84.66221144,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_21A26A4E03C0AA57FA13,34.16622266,78.07686805,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_21B6408C46B8524CD860,13.58892266,77.78175694,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_22336BE5C0269F3E751B,33.61542576,75.89976531,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_22715EB02CDB991C64DE,25.44474234,80.56212682,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_236B0E84B4D0CB9CB5F1,24.75551964,92.88223491,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_23EBE914D6C3D00F1CE3,23.98202836,86.93219854,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_24206BCC0816A9F30DB6,23.49124874,74.35322758,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_2455BA69AB0E10E0670D,28.73540428,77.70319773,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_249A865ABF8FA6483701,24.93442169,82.64706842,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_24B180ABE03CE3831C6B,26.99375921,79.69375219,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_2505009A0E6B1D86E030,18.35226656,76.75648855,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_25A0811BFE06A48D6B19,26.91835632,83.83367677,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_25A6F8CE21036F9F7911,20.82482986,78.61572885,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_265055CBA34A5879A2A3,24.62004301,77.87635408,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_26B843CA153EF8A69223,18.54018049,78.11836768,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_26F25F34DB2D8803ACDA,23.67808567,85.5183243,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_273280F9637B51C937ED,21.68511514,73.69403995,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_27DAB0D32943A8947B17,8.84528108,77.99485639,downloaded,200,6802,1997-03-01,2015-10-14,ok
WPT_28089551954C69F1C7B0,14.72477026,74.64368043,downloaded,200,6802,1997-03-01,2015-10-14,ok
