model_run_id,phase,application_track,experiment_family,model_name,model_family,feature_set,target_strategy,fold_id,fit_start_year,fit_end_year,evaluation_start_year,evaluation_end_year,hyperparameters_json,preprocessing_family,training_scope,fit_rows,evaluation_rows,fit_seconds,predict_seconds,mae,rmse,r2,median_ae,lag_subset_rows,lag_subset_mae,lag_subset_rmse,baseline_fold_mae,mae_improvement_over_lag_baseline,time_cv_mean_mae,time_cv_std_mae,time_cv_worst_fold_mae,status,warning_count,warning_summary,error_type,error_message,random_state,test_data_accessed
cv_baseline_global_median,cv-baseline,,baseline,GlobalMedian,baseline,none,baseline,fold_1,1997,2004,2005,2006,"{""strategy"": ""median""}",none,full_train,112384,29022,0.0025909999967552,0.0,3.969000437293423,12.828016019635104,-0.0834933957525949,0.5683962264150944,24402,3.977309257839616,13.055067779303153,1.0469628406265556,-2.922037596666867,,,,completed,0,,,,42,False
cv_baseline_global_median,cv-baseline,,baseline,GlobalMedian,baseline,none,baseline,fold_2,1997,2006,2007,2008,"{""strategy"": ""median""}",none,full_train,141406,30096,0.0035717000137083,0.0,3.903722455597289,12.678361449664669,-0.0831290172667149,0.5725129572998277,25723,3.890330950622604,12.947204698789438,1.0556765933106236,-2.848045862286665,,,,completed,0,,,,42,False
cv_baseline_global_median,cv-baseline,,baseline,GlobalMedian,baseline,none,baseline,fold_3,1997,2008,2009,2010,"{""strategy"": ""median""}",none,full_train,171502,30662,0.004301699984353,0.0,4.019161875713578,13.258046007518574,-0.07964193765095,0.5875350140056022,25900,4.349675569716681,14.0237579679706,1.1219907041916857,-2.897171171521892,,,,completed,0,,,,42,False
cv_baseline_crop_median,cv-baseline,,baseline,CropMedian,baseline,crop_only,baseline,fold_1,1997,2004,2005,2006,"{""fallback"": ""global_fit_median""}",none,full_train,112384,29022,0.0172773000085726,0.0,2.144210797956841,6.660143151251646,0.7079384343215477,0.3727625297632501,24402,2.086963745724433,6.700239850812947,1.0469628406265556,-1.0972479573302856,,,,completed,0,,,,42,False
cv_baseline_crop_median,cv-baseline,,baseline,CropMedian,baseline,crop_only,baseline,fold_2,1997,2006,2007,2008,"{""fallback"": ""global_fit_median""}",none,full_train,141406,30096,0.0249344000185374,0.0,2.1479399145430413,6.8595940242890165,0.6829332072902379,0.3868759013297864,25723,2.1248707065086934,7.02344628762355,1.0556765933106236,-1.0922633212324178,,,,completed,0,,,,42,False
cv_baseline_crop_median,cv-baseline,,baseline,CropMedian,baseline,crop_only,baseline,fold_3,1997,2008,2009,2010,"{""fallback"": ""global_fit_median""}",none,full_train,171502,30662,0.0246175000211223,0.0,2.198631278287617,7.204524165688038,0.6811904610040636,0.3899741463505512,25900,2.2892057934128456,7.4626905894439295,1.1219907041916857,-1.0766405740959315,,,,completed,0,,,,42,False
cv_baseline_lag_with_crop_median_fallback,cv-baseline,,baseline,LagWithCropMedianFallback,baseline,lag_with_crop_fallback,baseline,fold_1,1997,2004,2005,2006,"{""fallback"": ""crop_fit_median""}",none,full_train,112384,29022,0.0164549000037368,0.0,1.0469628406265556,3.8233792678714,0.9037497108101228,0.1666666666666666,24402,0.7819752112748163,3.086006512510082,1.0469628406265556,0.0,,,,completed,0,,,,42,False
cv_baseline_lag_with_crop_median_fallback,cv-baseline,,baseline,LagWithCropMedianFallback,baseline,lag_with_crop_fallback,baseline,fold_2,1997,2006,2007,2008,"{""fallback"": ""crop_fit_median""}",none,full_train,141406,30096,0.02012860000832,0.0,1.0556765933106236,4.247477163167973,0.8784329052462425,0.1671751381790418,25723,0.8469187990402471,3.922183546218269,1.0556765933106236,0.0,,,,completed,0,,,,42,False
cv_baseline_lag_with_crop_median_fallback,cv-baseline,,baseline,LagWithCropMedianFallback,baseline,lag_with_crop_fallback,baseline,fold_3,1997,2008,2009,2010,"{""fallback"": ""crop_fit_median""}",none,full_train,171502,30662,0.0227906000218354,0.0,1.1219907041916857,5.0619746239001,0.8426159815705706,0.1999999999999999,25900,1.0146130025661482,4.957621560861339,1.1219907041916857,0.0,,,,completed,0,,,,42,False
cv_direct_ridge_alpha_0_1_core_without_lag,cv-direct,,direct,Ridge,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""alpha"": 0.1, ""solver"": ""auto""}",linear,full_train,112384,29022,5.178086600004463,0.1173450000060256,3.635784162943309,6.57960234363744,0.714959497778573,2.246868435605138,24402,3.478044823201322,6.459693756570839,1.0469628406265556,-2.588821322316753,,,,completed,0,,,,42,False
