model_run_id,experiment_family,model_name,model_family,feature_set,target_strategy,hyperparameters_json,preprocessing_family,training_scope,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,worst_fold_mae,worst_fold_rmse,total_fit_seconds,successful_folds,failed_folds,simplicity_rank,test_data_accessed
cv_residual_linearsvr_c_0_03_epsilon_0_0_residual_lag_corrector,residual,LinearSVR,linear,residual_lag_corrector,residual,"{""C"": 0.03, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,1.083048732898592,0.034434832049791426,4.332368456339632,0.4628021531788918,0.8777256401499344,0.021941398445264177,1.126521812374789,4.95665130171157,12.070221799949648,3,0,4,False
cv_residual_linearsvr_c_0_1_epsilon_0_0_residual_lag_corrector,residual,LinearSVR,linear,residual_lag_corrector,residual,"{""C"": 0.1, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,1.0881625118176383,0.03476669690730156,4.3301252754780215,0.4549720228097798,0.8778859633079351,0.02148198006807978,1.1286232159507994,4.945175257664247,27.808006300008856,3,0,4,False
cv_residual_linearsvr_c_0_3_epsilon_0_0_residual_lag_corrector,residual,LinearSVR,linear,residual_lag_corrector,residual,"{""C"": 0.3, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,1.0910973267470512,0.03507724166863472,4.330379464482836,0.4518626460725143,0.877886498785197,0.021301395148988895,1.129396863959644,4.94217628577339,66.35570780001581,3,0,4,False
cv_residual_linearsvr_c_1_0_epsilon_0_0_residual_lag_corrector,residual,LinearSVR,linear,residual_lag_corrector,residual,"{""C"": 1.0, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,1.0922925897011826,0.03522438656287219,4.33081925627859,0.450619356626068,0.8778680099375459,0.021229843123657253,1.1296564526234492,4.941405627818584,192.83467509993352,3,0,4,False
cv_residual_rf_250_depth_none_leaf_20_maxfeat_sqrt_residual_lag_corrector,residual,RandomForest,tree,residual_lag_corrector,residual,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 250, ""n_jobs"": -1}",tree,full_train,1.1271713728622348,0.020222315964345924,4.39145649999925,0.27982928739263846,0.874935477130018,0.011602548475041908,1.1457887860290934,4.778220884549762,62.68369600002189,3,0,6,False
cv_residual_rf_200_depth_20_leaf_10_maxfeat_sqrt_residual_lag_corrector,residual,RandomForest,tree,residual_lag_corrector,residual,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200, ""n_jobs"": -1}",tree,full_train,1.1293927374923949,0.0207041195290775,4.337324604688958,0.3550441732445536,0.8778332863428723,0.015762020348250014,1.1520320764920466,4.825905069005862,33.114640199928544,3,0,6,False
cv_residual_ridge_alpha_100_0_residual_lag_corrector,residual,Ridge,linear,residual_lag_corrector,residual,"{""alpha"": 100.0, ""solver"": ""auto""}",linear,full_train,2.2880132689927026,0.03312367564663644,5.91237279782431,0.17324491392507077,0.7734210471918997,0.007966507323238847,2.3347145441253883,6.139269585761995,5.667967599991243,3,0,3,False
cv_residual_ridge_alpha_10_0_residual_lag_corrector,residual,Ridge,linear,residual_lag_corrector,residual,"{""alpha"": 10.0, ""solver"": ""auto""}",linear,full_train,2.3104019650695435,0.024113980754619138,5.880801929130944,0.19457055707777637,0.7758354194871618,0.009194311981946769,2.34394820894162,6.1355289595018085,7.0250396999763325,3,0,3,False
cv_residual_ridge_alpha_1_0_residual_lag_corrector,residual,Ridge,linear,residual_lag_corrector,residual,"{""alpha"": 1.0, ""solver"": ""auto""}",linear,full_train,2.323212987792166,0.02471788928737643,5.881411406335285,0.19793042694498425,0.7757850359990259,0.009486292575496167,2.357471203188997,6.139473258160716,7.8205361000145786,3,0,3,False
cv_residual_ridge_alpha_0_1_residual_lag_corrector,residual,Ridge,linear,residual_lag_corrector,residual,"{""alpha"": 0.1, ""solver"": ""auto""}",linear,full_train,2.325189560639205,0.024599956750610493,5.88161332762562,0.198199871528906,0.7757692065160615,0.009512455981858,2.359408466793931,6.139908039436929,8.121514100057539,3,0,3,False
