district_id,raw_state_name,raw_district_name,canonical_state_name,canonical_district_name,assignment_confidence_2001,assignment_confidence_2011,assignment_method_2001,assignment_method_2011,geometry_census_version_2001,geometry_census_version_2011,shared_parent_boundary_2001,shared_parent_boundary_2011
IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,working_fallback,working_fallback,working_fuzzy_same_state,working_fuzzy_same_state,Census 2001,Census 2011,1,0
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,Andaman and Nicobar Islands,NICOBARS,Andaman and Nicobar Islands,NICOBARS,confirmed,working_strong,confirmed_exact_unique,alternate_layer_confirmed_name,Census 2001,Census 2001,0,0
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,working_strong,confirmed,alternate_layer_confirmed_name,confirmed_exact_unique,Census 2011,Census 2011,0,0
IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,Andaman and Nicobar Islands,SOUTH ANDAMANS,working_fallback,working_fallback,working_fuzzy_same_state,working_fuzzy_same_state,Census 2001,Census 2011,1,0
IND_ANDHRA_PRADESH_ADILABAD,Andhra Pradesh,ADILABAD,Andhra Pradesh,ADILABAD,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_ANANTAPUR,Andhra Pradesh,ANANTAPUR,Andhra Pradesh,ANANTAPUR,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_CHITTOOR,Andhra Pradesh,CHITTOOR,Andhra Pradesh,CHITTOOR,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_EAST_GODAVARI,Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,EAST GODAVARI,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_GUNTUR,Andhra Pradesh,GUNTUR,Andhra Pradesh,GUNTUR,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_HYDERABAD,Andhra Pradesh,HYDERABAD,Andhra Pradesh,HYDERABAD,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_KADAPA,Andhra Pradesh,KADAPA,Andhra Pradesh,KADAPA,working_fallback,working_fallback,working_fuzzy_same_state,working_fuzzy_same_state,Census 2001,Census 2011,1,1
IND_ANDHRA_PRADESH_KARIMNAGAR,Andhra Pradesh,KARIMNAGAR,Andhra Pradesh,KARIMNAGAR,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_KHAMMAM,Andhra Pradesh,KHAMMAM,Andhra Pradesh,KHAMMAM,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_KRISHNA,Andhra Pradesh,KRISHNA,Andhra Pradesh,KRISHNA,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_KURNOOL,Andhra Pradesh,KURNOOL,Andhra Pradesh,KURNOOL,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_MAHBUBNAGAR,Andhra Pradesh,MAHBUBNAGAR,Andhra Pradesh,MAHBUBNAGAR,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_MEDAK,Andhra Pradesh,MEDAK,Andhra Pradesh,MEDAK,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_NALGONDA,Andhra Pradesh,NALGONDA,Andhra Pradesh,NALGONDA,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_NIZAMABAD,Andhra Pradesh,NIZAMABAD,Andhra Pradesh,NIZAMABAD,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_PRAKASAM,Andhra Pradesh,PRAKASAM,Andhra Pradesh,PRAKASAM,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_RANGAREDDI,Andhra Pradesh,RANGAREDDI,Andhra Pradesh,RANGAREDDI,confirmed,working_strong,confirmed_exact_unique,alternate_layer_confirmed_name,Census 2001,Census 2001,0,0
IND_ANDHRA_PRADESH_SPSR_NELLORE,Andhra Pradesh,SPSR NELLORE,Andhra Pradesh,SPSR NELLORE,working_fallback,working_fallback,working_fuzzy_same_state,working_fuzzy_same_state,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_SRIKAKULAM,Andhra Pradesh,SRIKAKULAM,Andhra Pradesh,SRIKAKULAM,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_VISAKHAPATANAM,Andhra Pradesh,VISAKHAPATANAM,Andhra Pradesh,VISAKHAPATANAM,working_fallback,working_fallback,working_fuzzy_same_state,working_fuzzy_same_state,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_VIZIANAGARAM,Andhra Pradesh,VIZIANAGARAM,Andhra Pradesh,VIZIANAGARAM,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_WARANGAL,Andhra Pradesh,WARANGAL,Andhra Pradesh,WARANGAL,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ANDHRA_PRADESH_WEST_GODAVARI,Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,WEST GODAVARI,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_ANJAW,Arunachal Pradesh,ANJAW,Arunachal Pradesh,ANJAW,working_strong,confirmed,alternate_layer_confirmed_name,confirmed_exact_unique,Census 2011,Census 2011,0,0
IND_ARUNACHAL_PRADESH_CHANGLANG,Arunachal Pradesh,CHANGLANG,Arunachal Pradesh,CHANGLANG,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_DIBANG_VALLEY,Arunachal Pradesh,DIBANG VALLEY,Arunachal Pradesh,DIBANG VALLEY,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_EAST_KAMENG,Arunachal Pradesh,EAST KAMENG,Arunachal Pradesh,EAST KAMENG,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_EAST_SIANG,Arunachal Pradesh,EAST SIANG,Arunachal Pradesh,EAST SIANG,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_KURUNG_KUMEY,Arunachal Pradesh,KURUNG KUMEY,Arunachal Pradesh,KURUNG KUMEY,working_strong,confirmed,alternate_layer_confirmed_name,confirmed_exact_unique,Census 2011,Census 2011,0,0
IND_ARUNACHAL_PRADESH_LOHIT,Arunachal Pradesh,LOHIT,Arunachal Pradesh,LOHIT,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_LONGDING,Arunachal Pradesh,LONGDING,Arunachal Pradesh,LONGDING,working_fallback,working_fallback,working_fuzzy_same_state,working_fuzzy_same_state,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_LOWER_DIBANG_VALLEY,Arunachal Pradesh,LOWER DIBANG VALLEY,Arunachal Pradesh,LOWER DIBANG VALLEY,working_strong,confirmed,alternate_layer_confirmed_name,confirmed_exact_unique,Census 2011,Census 2011,0,0
IND_ARUNACHAL_PRADESH_LOWER_SUBANSIRI,Arunachal Pradesh,LOWER SUBANSIRI,Arunachal Pradesh,LOWER SUBANSIRI,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_NAMSAI,Arunachal Pradesh,NAMSAI,Arunachal Pradesh,NAMSAI,working_fallback,working_fallback,working_fuzzy_same_state,working_fuzzy_same_state,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_PAPUM_PARE,Arunachal Pradesh,PAPUM PARE,Arunachal Pradesh,PAPUM PARE,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_TAWANG,Arunachal Pradesh,TAWANG,Arunachal Pradesh,TAWANG,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_TIRAP,Arunachal Pradesh,TIRAP,Arunachal Pradesh,TIRAP,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_UPPER_SIANG,Arunachal Pradesh,UPPER SIANG,Arunachal Pradesh,UPPER SIANG,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_UPPER_SUBANSIRI,Arunachal Pradesh,UPPER SUBANSIRI,Arunachal Pradesh,UPPER SUBANSIRI,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_WEST_KAMENG,Arunachal Pradesh,WEST KAMENG,Arunachal Pradesh,WEST KAMENG,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ARUNACHAL_PRADESH_WEST_SIANG,Arunachal Pradesh,WEST SIANG,Arunachal Pradesh,WEST SIANG,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ASSAM_BAKSA,Assam,BAKSA,Assam,BAKSA,working_strong,confirmed,alternate_layer_confirmed_name,confirmed_exact_unique,Census 2011,Census 2011,0,0
IND_ASSAM_BARPETA,Assam,BARPETA,Assam,BARPETA,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ASSAM_BONGAIGAON,Assam,BONGAIGAON,Assam,BONGAIGAON,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ASSAM_CACHAR,Assam,CACHAR,Assam,CACHAR,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ASSAM_CHIRANG,Assam,CHIRANG,Assam,CHIRANG,working_strong,confirmed,alternate_layer_confirmed_name,confirmed_exact_unique,Census 2011,Census 2011,0,0
IND_ASSAM_DARRANG,Assam,DARRANG,Assam,DARRANG,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ASSAM_DHEMAJI,Assam,DHEMAJI,Assam,DHEMAJI,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ASSAM_DHUBRI,Assam,DHUBRI,Assam,DHUBRI,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ASSAM_DIBRUGARH,Assam,DIBRUGARH,Assam,DIBRUGARH,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ASSAM_DIMA_HASAO,Assam,DIMA HASAO,Assam,DIMA HASAO,working_strong,confirmed,alternate_layer_confirmed_name,confirmed_exact_unique,Census 2011,Census 2011,0,0
IND_ASSAM_GOALPARA,Assam,GOALPARA,Assam,GOALPARA,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ASSAM_GOLAGHAT,Assam,GOLAGHAT,Assam,GOLAGHAT,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
IND_ASSAM_HAILAKANDI,Assam,HAILAKANDI,Assam,HAILAKANDI,confirmed,confirmed,confirmed_exact_unique,confirmed_exact_unique,Census 2001,Census 2011,0,0
