model,epoch,train_mse_scaled,validation_mse_scaled
MLP small [64] ReLU,1,0.9720598621845246,0.34065213799476624
MLP small [64] ReLU,2,0.9022635104227066,0.2861937880516052
MLP small [64] ReLU,3,0.8312188592290878,0.22679919004440308
MLP small [64] ReLU,4,0.7632453170490265,0.17748712003231049
MLP small [64] ReLU,5,0.7148731589317322,0.14843910932540894
MLP small [64] ReLU,6,0.6830895032405854,0.12867258489131927
MLP small [64] ReLU,7,0.6668612108612061,0.1348923146724701
MLP small [64] ReLU,8,0.6531724713730812,0.12073522061109543
MLP small [64] ReLU,9,0.6392175057983398,0.1108764037489891
MLP small [64] ReLU,10,0.6276984769129753,0.10873036086559296
MLP small [64] ReLU,11,0.6173109426522255,0.10810649394989014
MLP small [64] ReLU,12,0.6079609199333191,0.10579061508178711
MLP small [64] ReLU,13,0.6005891735756397,0.10321684926748276
MLP small [64] ReLU,14,0.5915894055747986,0.09831053018569946
MLP small [64] ReLU,15,0.5844329467391968,0.10172826796770096
MLP small [64] ReLU,16,0.5771373215675354,0.09796033054590225
MLP small [64] ReLU,17,0.5698014710330963,0.09575509279966354
MLP small [64] ReLU,18,0.563000979514122,0.09941206127405167
MLP small [64] ReLU,19,0.5579276699054241,0.09711721539497375
MLP small [64] ReLU,20,0.5508170229721069,0.09591510891914368
MLP small [64] ReLU,21,0.5450811789488792,0.09767076373100281
MLP small [64] ReLU,22,0.5399083338737488,0.0960850790143013
MLP small [64] ReLU,23,0.5344624763333797,0.09884706884622574
MLP small [64] ReLU,24,0.5277861654663086,0.09598047286272049
MLP small [64] ReLU,25,0.5217458589434624,0.09500383585691452
MLP small [64] ReLU,26,0.5164488029265404,0.09379130601882935
MLP small [64] ReLU,27,0.5099889079236984,0.09325619786977768
MLP small [64] ReLU,28,0.5041721796536446,0.09455504268407822
MLP small [64] ReLU,29,0.4991775717353821,0.09404648095369339
MLP small [64] ReLU,30,0.49273845230102536,0.09330548346042633
MLP small [64] ReLU,31,0.4866568982458115,0.0940079614520073
MLP small [64] ReLU,32,0.4789716938042641,0.09438693523406982
MLP small [64] ReLU,33,0.47314698998808863,0.09228718280792236
MLP small [64] ReLU,34,0.46696577713012694,0.09279134124517441
MLP small [64] ReLU,35,0.46014878445625307,0.09436220675706863
MLP small [64] ReLU,36,0.4536467269039154,0.09374687820672989
MLP small [64] ReLU,37,0.4483756718599796,0.09428620338439941
MLP small [64] ReLU,38,0.44175908996105195,0.09325998276472092
MLP small [64] ReLU,39,0.4351317750930786,0.09496354311704636
MLP small [64] ReLU,40,0.42734832313537596,0.09496837854385376
MLP small [64] ReLU,41,0.4213361579418182,0.10143278539180756
MLP small [64] ReLU,42,0.41513442663431166,0.0953867956995964
MLP small [64] ReLU,43,0.4103398585128784,0.09964749962091446
MLP small [64] ReLU,44,0.4057901235127449,0.10306767374277115
MLP small [64] ReLU,45,0.3958241604793072,0.09627984464168549
MLP small [64] ReLU,46,0.3879857170176506,0.0996563509106636
MLP small [64] ReLU,47,0.3820455888140202,0.09771689027547836
MLP small [64] ReLU,48,0.3773822868871689,0.09754898399114609
"MLP medium [128, 64] ReLU",1,0.9840811724185944,0.3355593681335449
"MLP medium [128, 64] ReLU",2,0.863916790060997,0.21129637956619263
"MLP medium [128, 64] ReLU",3,0.7157885815501213,0.14514046907424927
"MLP medium [128, 64] ReLU",4,0.6451576559066773,0.115012027323246
"MLP medium [128, 64] ReLU",5,0.5941939973998069,0.10701830685138702
"MLP medium [128, 64] ReLU",6,0.5638380179047584,0.10074867308139801
"MLP medium [128, 64] ReLU",7,0.5437503371167183,0.10491543263196945
"MLP medium [128, 64] ReLU",8,0.5213292375707627,0.11139638721942902
"MLP medium [128, 64] ReLU",9,0.48833872685670854,0.10638618469238281
"MLP medium [128, 64] ReLU",10,0.470661115834713,0.11804820597171783
"MLP medium [128, 64] ReLU",11,0.42331152577281,0.11692609637975693
"MLP medium [128, 64] ReLU",12,0.3842616374206543,0.1036737933754921
"MLP medium [128, 64] ReLU",13,0.3439220515441895,0.09923072904348373
"MLP medium [128, 64] ReLU",14,0.30407450975418093,0.11422573029994965
"MLP medium [128, 64] ReLU",15,0.2654609762763977,0.10088788717985153
"MLP medium [128, 64] ReLU",16,0.23601777180552483,0.09296257048845291
"MLP medium [128, 64] ReLU",17,0.19790909592628478,0.0981857180595398
"MLP medium [128, 64] ReLU",18,0.16283667179107666,0.08761943876743317
"MLP medium [128, 64] ReLU",19,0.16674616916656493,0.09185715764760971
"MLP medium [128, 64] ReLU",20,0.13383365821838378,0.09658873826265335
"MLP medium [128, 64] ReLU",21,0.11417330125331879,0.09123595058917999
"MLP medium [128, 64] ReLU",22,0.11507707491874695,0.08929553627967834
"MLP medium [128, 64] ReLU",23,0.10730972578525544,0.08233122527599335
"MLP medium [128, 64] ReLU",24,0.09747387825369835,0.08000563830137253
"MLP medium [128, 64] ReLU",25,0.08517008918225766,0.08198889344930649
"MLP medium [128, 64] ReLU",26,0.0808176012301445,0.07763408869504929
"MLP medium [128, 64] ReLU",27,0.0742697138261795,0.07759600877761841
"MLP medium [128, 64] ReLU",28,0.07645162812232971,0.07321032881736755
"MLP medium [128, 64] ReLU",29,0.07072947645783424,0.07660787552595139
"MLP medium [128, 64] ReLU",30,0.06645078788161278,0.07271682471036911
"MLP medium [128, 64] ReLU",31,0.06391896367430687,0.07520736008882523
"MLP medium [128, 64] ReLU",32,0.05687431650042534,0.07391431927680969
"MLP medium [128, 64] ReLU",33,0.05456293032974005,0.0725485160946846
"MLP medium [128, 64] ReLU",34,0.051332047094702724,0.07050979882478714
"MLP medium [128, 64] ReLU",35,0.04955018944263458,0.07348352670669556
"MLP medium [128, 64] ReLU",36,0.049646398216485976,0.07417771220207214
"MLP medium [128, 64] ReLU",37,0.0464088289219141,0.0710633397102356
"MLP medium [128, 64] ReLU",38,0.0421567051255703,0.07090514898300171
"MLP medium [128, 64] ReLU",39,0.04127270378112793,0.07237119972705841
"MLP medium [128, 64] ReLU",40,0.0392004555284977,0.07056522369384766
"MLP medium [128, 64] ReLU",41,0.03787713892996311,0.07305313646793365
"MLP medium [128, 64] ReLU",42,0.035066063717603686,0.07004709541797638
"MLP medium [128, 64] ReLU",43,0.032521267703175545,0.07224884629249573
"MLP medium [128, 64] ReLU",44,0.035218078657388685,0.0715334564447403
"MLP medium [128, 64] ReLU",45,0.032191726591885086,0.06882421672344208
"MLP medium [128, 64] ReLU",46,0.02985100617289543,0.07165659219026566
"MLP medium [128, 64] ReLU",47,0.029471470054686068,0.07064680010080338
"MLP medium [128, 64] ReLU",48,0.02757865202307701,0.07080117613077164
"MLP medium [128, 64] ReLU",49,0.026730787776708603,0.06875734776258469
"MLP medium [128, 64] ReLU",50,0.026927215046286583,0.07215190678834915
"MLP medium [128, 64] ReLU",51,0.027221269287467004,0.06945984065532684
"MLP medium [128, 64] ReLU",52,0.026322010028362274,0.07169536501169205
"MLP medium [128, 64] ReLU",53,0.024437241691350937,0.07357529550790787
"MLP medium [128, 64] ReLU",54,0.02425250844836235,0.07007446885108948
"MLP medium [128, 64] ReLU",55,0.023968360635638238,0.07175145298242569
"MLP medium [128, 64] ReLU",56,0.023613906704485415,0.07092637568712234
"MLP medium [128, 64] ReLU",57,0.022945562707185747,0.07224626839160919
"MLP medium [128, 64] ReLU",58,0.023185882405638694,0.07127299904823303
"MLP medium [128, 64] ReLU",59,0.02177354613304138,0.07148434966802597
"MLP medium [128, 64] ReLU",60,0.021037910691201686,0.07014745473861694
"MLP medium [128, 64] ReLU",61,0.020408121354579926,0.06970061361789703
"MLP medium [128, 64] ReLU",62,0.020453555895090104,0.0706285834312439
"MLP medium [128, 64] ReLU",63,0.02009794314444065,0.07006949931383133
"MLP medium [128, 64] ReLU",64,0.01992046819448471,0.06929481774568558
"MLP deep [256, 128, 64] ReLU",1,0.9719205955219269,0.3291919529438019
